"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","HTTP","",""
"pre_128cipher","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","No 128 cipher limit bug","",""
"SSLv2","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","not offered","",""
"SSLv3","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","not offered","",""
"TLS1","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","not offered","",""
"TLS1_1","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","not offered","",""
"TLS1_2","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","offered","",""
"TLS1_3","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","offered with final","",""
"NPN","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","not offered","",""
"ALPN_HTTP2","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","h2","",""
"ALPN","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","http/1.1","",""
"cipherlist_NULL","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","not offered","","CWE-327"
"cipherlist_LOW","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","not offered","",""
"cipherlist_STRONG_FS","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","offered","",""
"cipher_order-tls1_2","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","server","",""
"cipher-tls1_2_xc030","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","server","",""
"cipher-tls1_3_x1302","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1301","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1303","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_3","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","TLS_AES_256_GCM_SHA384 TLS_AES_128_GCM_SHA256 TLS_CHACHA20_POLY1305_SHA256","",""
"prioritize_chacha_TLSv1_3","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","false","",""
"cipher_order","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","server","",""
"FS","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","offered","",""
"FS_ciphers","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"FS_TLS12_sig_algs","eirel4.interieur.gouv.fr/143.196.253.132","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"FS_TLS13_sig_algs","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","yes","",""
"sessionresumption_ticket","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","not supported","",""
"sessionresumption_ID","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","not supported","",""
"TLS_timestamp","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","random","",""
"certificate_compression","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","none","",""
"clientAuth","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","none","",""
"cert_numbers","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","1","",""
"cert_signatureAlgorithm","eirel4.interieur.gouv.fr/143.196.253.132","443","OK","SHA256 with RSA","",""
"cert_keySize","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","94441550F3BA4C2552C6A8B88064E7C6","",""
"cert_serialNumberLen","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","16","",""
"cert_fingerprintSHA1","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","8EAD23D88EE5D4134DBFF9CB60D0B1FBEBDEEA40","",""
"cert_fingerprintSHA256","eirel4.interieur.gouv.fr/143.196.253.132","443","INFO","37EA1B904F5729379A0B23E2055B6986CDE81759B41633A2D95B446790449F21","",""
