"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","elysee.fr/185.194.81.29","443","INFO","HTTP","",""
"pre_128cipher","elysee.fr/185.194.81.29","443","INFO","No 128 cipher limit bug","",""
"SSLv2","elysee.fr/185.194.81.29","443","OK","not offered","",""
"SSLv3","elysee.fr/185.194.81.29","443","OK","not offered","",""
"TLS1","elysee.fr/185.194.81.29","443","INFO","not offered","",""
"TLS1_1","elysee.fr/185.194.81.29","443","INFO","not offered","",""
"TLS1_2","elysee.fr/185.194.81.29","443","OK","offered","",""
"TLS1_3","elysee.fr/185.194.81.29","443","OK","offered with final","",""
"NPN","elysee.fr/185.194.81.29","443","INFO","not offered","",""
"ALPN","elysee.fr/185.194.81.29","443","INFO","not offered","",""
"cipherlist_NULL","elysee.fr/185.194.81.29","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","elysee.fr/185.194.81.29","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","elysee.fr/185.194.81.29","443","OK","not offered","","CWE-327"
"cipherlist_LOW","elysee.fr/185.194.81.29","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","elysee.fr/185.194.81.29","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","elysee.fr/185.194.81.29","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","elysee.fr/185.194.81.29","443","INFO","not offered","",""
"cipherlist_STRONG_FS","elysee.fr/185.194.81.29","443","OK","offered","",""
"cipher_order-tls1_2","elysee.fr/185.194.81.29","443","OK","server","",""
"cipher-tls1_2_xc030","elysee.fr/185.194.81.29","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","elysee.fr/185.194.81.29","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","elysee.fr/185.194.81.29","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","elysee.fr/185.194.81.29","443","OK","server","",""
"cipher-tls1_3_x1301","elysee.fr/185.194.81.29","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","elysee.fr/185.194.81.29","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_3","elysee.fr/185.194.81.29","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384","",""
"cipher_order","elysee.fr/185.194.81.29","443","OK","server","",""
"FS","elysee.fr/185.194.81.29","443","OK","offered","",""
"FS_ciphers","elysee.fr/185.194.81.29","443","INFO","TLS_AES_256_GCM_SHA384 ECDHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","elysee.fr/185.194.81.29","443","OK","prime256v1 secp384r1 X25519","",""
"DH_groups","elysee.fr/185.194.81.29","443","OK","ffdhe3072 ffdhe4096","",""
"FS_TLS12_sig_algs","elysee.fr/185.194.81.29","443","INFO","RSA+SHA256 RSA+SHA384 RSA+SHA512","",""
"FS_TLS13_sig_algs","elysee.fr/185.194.81.29","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","elysee.fr/185.194.81.29","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","elysee.fr/185.194.81.29","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","elysee.fr/185.194.81.29","443","INFO","yes","",""
"sessionresumption_ticket","elysee.fr/185.194.81.29","443","INFO","not supported","",""
"sessionresumption_ID","elysee.fr/185.194.81.29","443","INFO","supported","",""
"TLS_timestamp","elysee.fr/185.194.81.29","443","INFO","random","",""
"certificate_compression","elysee.fr/185.194.81.29","443","INFO","none","",""
"clientAuth","elysee.fr/185.194.81.29","443","INFO","none","",""
"cert_numbers","elysee.fr/185.194.81.29","443","INFO","1","",""
"cert_signatureAlgorithm","elysee.fr/185.194.81.29","443","OK","SHA256 with RSA","",""
"cert_keySize","elysee.fr/185.194.81.29","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","elysee.fr/185.194.81.29","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","elysee.fr/185.194.81.29","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","elysee.fr/185.194.81.29","443","INFO","523AA2A1F2CA093CCC27C44B2DD42B07","",""
"cert_serialNumberLen","elysee.fr/185.194.81.29","443","INFO","16","",""
"cert_fingerprintSHA1","elysee.fr/185.194.81.29","443","INFO","9FC26FA05746F1A9FF490618B84FC38F5FB79DBD","",""
"cert_fingerprintSHA256","elysee.fr/185.194.81.29","443","INFO","82A7BA64F81B896DA989FD99515D399C39A9B39D1C123E602FBB709575640AFD","",""
