"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","en3s.fr/82.210.4.3","443","INFO","HTTP","",""
"pre_128cipher","en3s.fr/82.210.4.3","443","INFO","No 128 cipher limit bug","",""
"SSLv2","en3s.fr/82.210.4.3","443","OK","not offered","",""
"SSLv3","en3s.fr/82.210.4.3","443","OK","not offered","",""
"TLS1","en3s.fr/82.210.4.3","443","LOW","offered (deprecated)","",""
"TLS1_1","en3s.fr/82.210.4.3","443","LOW","offered (deprecated)","",""
"TLS1_2","en3s.fr/82.210.4.3","443","OK","offered","",""
"TLS1_3","en3s.fr/82.210.4.3","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","en3s.fr/82.210.4.3","443","INFO","not offered","",""
"ALPN_HTTP2","en3s.fr/82.210.4.3","443","OK","h2","",""
"ALPN","en3s.fr/82.210.4.3","443","INFO","http/1.1","",""
"cipherlist_NULL","en3s.fr/82.210.4.3","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","en3s.fr/82.210.4.3","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","en3s.fr/82.210.4.3","443","OK","not offered","","CWE-327"
"cipherlist_LOW","en3s.fr/82.210.4.3","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","en3s.fr/82.210.4.3","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","en3s.fr/82.210.4.3","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","en3s.fr/82.210.4.3","443","OK","offered","",""
"cipherlist_STRONG_FS","en3s.fr/82.210.4.3","443","OK","offered","",""
"cipher_order-tls1","en3s.fr/82.210.4.3","443","OK","server","",""
"cipher-tls1_xc013","en3s.fr/82.210.4.3","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc014","en3s.fr/82.210.4.3","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x2f","en3s.fr/82.210.4.3","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","en3s.fr/82.210.4.3","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc012","en3s.fr/82.210.4.3","443","MEDIUM","TLSv1   xc012   ECDHE-RSA-DES-CBC3-SHA            ECDH 521   3DES        168      TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipher-tls1_x0a","en3s.fr/82.210.4.3","443","MEDIUM","TLSv1   x0a     DES-CBC3-SHA                      RSA        3DES        168      TLS_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipherorder_TLSv1","en3s.fr/82.210.4.3","443","INFO","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA AES128-SHA AES256-SHA ECDHE-RSA-DES-CBC3-SHA DES-CBC3-SHA","",""
"cipher_order-tls1_1","en3s.fr/82.210.4.3","443","OK","server","",""
"cipher-tls1_1_xc013","en3s.fr/82.210.4.3","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
