"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","eng.justice.fr/185.24.184.176","443","INFO","HTTP","",""
"pre_128cipher","eng.justice.fr/185.24.184.176","443","INFO","No 128 cipher limit bug","",""
"SSLv2","eng.justice.fr/185.24.184.176","443","OK","not offered","",""
"SSLv3","eng.justice.fr/185.24.184.176","443","OK","not offered","",""
"TLS1","eng.justice.fr/185.24.184.176","443","INFO","not offered","",""
"TLS1_1","eng.justice.fr/185.24.184.176","443","INFO","not offered","",""
"TLS1_2","eng.justice.fr/185.24.184.176","443","OK","offered","",""
"TLS1_3","eng.justice.fr/185.24.184.176","443","OK","offered with final","",""
"NPN","eng.justice.fr/185.24.184.176","443","INFO","not offered","",""
"ALPN","eng.justice.fr/185.24.184.176","443","INFO","not offered","",""
"cipherlist_NULL","eng.justice.fr/185.24.184.176","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","eng.justice.fr/185.24.184.176","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","eng.justice.fr/185.24.184.176","443","OK","not offered","","CWE-327"
"cipherlist_LOW","eng.justice.fr/185.24.184.176","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","eng.justice.fr/185.24.184.176","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","eng.justice.fr/185.24.184.176","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","eng.justice.fr/185.24.184.176","443","INFO","not offered","",""
"cipherlist_STRONG_FS","eng.justice.fr/185.24.184.176","443","OK","offered","",""
"cipher_order-tls1_2","eng.justice.fr/185.24.184.176","443","OK","server","",""
"cipher-tls1_2_xc02f","eng.justice.fr/185.24.184.176","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","eng.justice.fr/185.24.184.176","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_2","eng.justice.fr/185.24.184.176","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order-tls1_3","eng.justice.fr/185.24.184.176","443","OK","server","",""
"cipher-tls1_3_x1301","eng.justice.fr/185.24.184.176","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","eng.justice.fr/185.24.184.176","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_3","eng.justice.fr/185.24.184.176","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384","",""
"cipher_order","eng.justice.fr/185.24.184.176","443","OK","server","",""
"FS","eng.justice.fr/185.24.184.176","443","OK","offered","",""
"FS_ciphers","eng.justice.fr/185.24.184.176","443","INFO","TLS_AES_256_GCM_SHA384 ECDHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","eng.justice.fr/185.24.184.176","443","OK","prime256v1 secp384r1 X25519","",""
"DH_groups","eng.justice.fr/185.24.184.176","443","OK","ffdhe2048 ffdhe3072 ffdhe4096","",""
"FS_TLS12_sig_algs","eng.justice.fr/185.24.184.176","443","INFO","RSA+SHA256 RSA+SHA384 RSA+SHA512","",""
"FS_TLS13_sig_algs","eng.justice.fr/185.24.184.176","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","eng.justice.fr/185.24.184.176","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","eng.justice.fr/185.24.184.176","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","eng.justice.fr/185.24.184.176","443","INFO","yes","",""
"sessionresumption_ticket","eng.justice.fr/185.24.184.176","443","INFO","not supported","",""
"sessionresumption_ID","eng.justice.fr/185.24.184.176","443","INFO","supported","",""
"TLS_timestamp","eng.justice.fr/185.24.184.176","443","INFO","random","",""
"certificate_compression","eng.justice.fr/185.24.184.176","443","INFO","none","",""
"clientAuth","eng.justice.fr/185.24.184.176","443","INFO","none","",""
"cert_numbers","eng.justice.fr/185.24.184.176","443","INFO","1","",""
"cert_signatureAlgorithm","eng.justice.fr/185.24.184.176","443","OK","SHA256 with RSA","",""
"cert_keySize","eng.justice.fr/185.24.184.176","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","eng.justice.fr/185.24.184.176","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","eng.justice.fr/185.24.184.176","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","eng.justice.fr/185.24.184.176","443","INFO","972979EB252E5EE0C953CE82AB7C2899","",""
"cert_serialNumberLen","eng.justice.fr/185.24.184.176","443","INFO","16","",""
"cert_fingerprintSHA1","eng.justice.fr/185.24.184.176","443","INFO","B73A6223153FB4983B61760D511976378729A509","",""
"cert_fingerprintSHA256","eng.justice.fr/185.24.184.176","443","INFO","A64FBA58213F90AF0FEE8FE9146896ADFAE6685094E0D1FDC61FA651F2673F12","",""
