"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","engees.unistra.fr/194.167.15.73","443","INFO","HTTP","",""
"pre_128cipher","engees.unistra.fr/194.167.15.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","engees.unistra.fr/194.167.15.73","443","OK","not offered","",""
"SSLv3","engees.unistra.fr/194.167.15.73","443","OK","not offered","",""
"TLS1","engees.unistra.fr/194.167.15.73","443","INFO","not offered","",""
"TLS1_1","engees.unistra.fr/194.167.15.73","443","INFO","not offered","",""
"TLS1_2","engees.unistra.fr/194.167.15.73","443","OK","offered","",""
"TLS1_3","engees.unistra.fr/194.167.15.73","443","OK","offered with final","",""
"NPN","engees.unistra.fr/194.167.15.73","443","INFO","not offered","",""
"ALPN_HTTP2","engees.unistra.fr/194.167.15.73","443","OK","h2","",""
"ALPN","engees.unistra.fr/194.167.15.73","443","INFO","http/1.1","",""
"cipherlist_NULL","engees.unistra.fr/194.167.15.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","engees.unistra.fr/194.167.15.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","engees.unistra.fr/194.167.15.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","engees.unistra.fr/194.167.15.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","engees.unistra.fr/194.167.15.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","engees.unistra.fr/194.167.15.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","engees.unistra.fr/194.167.15.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","engees.unistra.fr/194.167.15.73","443","OK","offered","",""
"cipher_order-tls1_2","engees.unistra.fr/194.167.15.73","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","engees.unistra.fr/194.167.15.73","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","engees.unistra.fr/194.167.15.73","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","engees.unistra.fr/194.167.15.73","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","engees.unistra.fr/194.167.15.73","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","engees.unistra.fr/194.167.15.73","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","engees.unistra.fr/194.167.15.73","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","engees.unistra.fr/194.167.15.73","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","engees.unistra.fr/194.167.15.73","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","engees.unistra.fr/194.167.15.73","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","engees.unistra.fr/194.167.15.73","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","engees.unistra.fr/194.167.15.73","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","engees.unistra.fr/194.167.15.73","443","INFO","NOT a server cipher order configured","",""
"FS","engees.unistra.fr/194.167.15.73","443","OK","offered","",""
"FS_ciphers","engees.unistra.fr/194.167.15.73","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","engees.unistra.fr/194.167.15.73","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","engees.unistra.fr/194.167.15.73","443","OK","Unknown DH group (2048 bits)","",""
"FS_TLS12_sig_algs","engees.unistra.fr/194.167.15.73","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256 RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224","",""
"FS_TLS13_sig_algs","engees.unistra.fr/194.167.15.73","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256","",""
"TLS_extensions","engees.unistra.fr/194.167.15.73","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","engees.unistra.fr/194.167.15.73","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","engees.unistra.fr/194.167.15.73","443","INFO","yes","",""
"sessionresumption_ticket","engees.unistra.fr/194.167.15.73","443","INFO","supported","",""
"sessionresumption_ID","engees.unistra.fr/194.167.15.73","443","INFO","not supported","",""
"TLS_timestamp","engees.unistra.fr/194.167.15.73","443","INFO","random","",""
"certificate_compression","engees.unistra.fr/194.167.15.73","443","INFO","none","",""
"clientAuth","engees.unistra.fr/194.167.15.73","443","INFO","none","",""
"cert_numbers","engees.unistra.fr/194.167.15.73","443","INFO","1","",""
"cert_signatureAlgorithm","engees.unistra.fr/194.167.15.73","443","OK","SHA256 with RSA","",""
"cert_keySize","engees.unistra.fr/194.167.15.73","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","engees.unistra.fr/194.167.15.73","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","engees.unistra.fr/194.167.15.73","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","engees.unistra.fr/194.167.15.73","443","INFO","05C370E8719C0FF2CAA850F486E4C58AAB7F","",""
"cert_serialNumberLen","engees.unistra.fr/194.167.15.73","443","INFO","18","",""
"cert_fingerprintSHA1","engees.unistra.fr/194.167.15.73","443","INFO","302536A3FE7D3FD79D73D71FAD277302C59A078A","",""
"cert_fingerprintSHA256","engees.unistra.fr/194.167.15.73","443","INFO","642C6F8D229900CE5DAD1578006EB66576C1F2468AE66D72F344CB57313C8CBF","",""
