"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","enseignants.lumni.fr/194.127.249.63","443","INFO","HTTP","",""
"pre_128cipher","enseignants.lumni.fr/194.127.249.63","443","INFO","No 128 cipher limit bug","",""
"SSLv2","enseignants.lumni.fr/194.127.249.63","443","OK","not offered","",""
"SSLv3","enseignants.lumni.fr/194.127.249.63","443","OK","not offered","",""
"TLS1","enseignants.lumni.fr/194.127.249.63","443","INFO","not offered","",""
"TLS1_1","enseignants.lumni.fr/194.127.249.63","443","INFO","not offered","",""
"TLS1_2","enseignants.lumni.fr/194.127.249.63","443","OK","offered","",""
"TLS1_3","enseignants.lumni.fr/194.127.249.63","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","enseignants.lumni.fr/194.127.249.63","443","INFO","not offered","",""
"ALPN_HTTP2","enseignants.lumni.fr/194.127.249.63","443","OK","h2","",""
"ALPN","enseignants.lumni.fr/194.127.249.63","443","INFO","http/1.1","",""
"cipherlist_NULL","enseignants.lumni.fr/194.127.249.63","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","enseignants.lumni.fr/194.127.249.63","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","enseignants.lumni.fr/194.127.249.63","443","OK","not offered","","CWE-327"
"cipherlist_LOW","enseignants.lumni.fr/194.127.249.63","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","enseignants.lumni.fr/194.127.249.63","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","enseignants.lumni.fr/194.127.249.63","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","enseignants.lumni.fr/194.127.249.63","443","INFO","not offered","",""
"cipherlist_STRONG_FS","enseignants.lumni.fr/194.127.249.63","443","OK","offered","",""
"cipher_order-tls1_2","enseignants.lumni.fr/194.127.249.63","443","OK","server","",""
"cipher-tls1_2_xc02b","enseignants.lumni.fr/194.127.249.63","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc02c","enseignants.lumni.fr/194.127.249.63","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","enseignants.lumni.fr/194.127.249.63","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 256   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","enseignants.lumni.fr/194.127.249.63","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","enseignants.lumni.fr/194.127.249.63","443","INFO","false","",""
"cipher_order","enseignants.lumni.fr/194.127.249.63","443","OK","server","",""
"FS","enseignants.lumni.fr/194.127.249.63","443","OK","offered","",""
"FS_ciphers","enseignants.lumni.fr/194.127.249.63","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","enseignants.lumni.fr/194.127.249.63","443","OK","prime256v1 secp384r1 X25519","",""
"FS_TLS12_sig_algs","enseignants.lumni.fr/194.127.249.63","443","INFO","ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512","",""
"TLS_extensions","enseignants.lumni.fr/194.127.249.63","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'renegotiation info/#65281'","",""
"TLS_session_ticket","enseignants.lumni.fr/194.127.249.63","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","enseignants.lumni.fr/194.127.249.63","443","INFO","yes","",""
"sessionresumption_ticket","enseignants.lumni.fr/194.127.249.63","443","INFO","not supported","",""
"sessionresumption_ID","enseignants.lumni.fr/194.127.249.63","443","INFO","supported","",""
"TLS_timestamp","enseignants.lumni.fr/194.127.249.63","443","INFO","random","",""
"cert_compression","enseignants.lumni.fr/194.127.249.63","443","INFO","N/A","",""
"clientAuth","enseignants.lumni.fr/194.127.249.63","443","INFO","none","",""
"cert_numbers","enseignants.lumni.fr/194.127.249.63","443","INFO","1","",""
"cert_signatureAlgorithm","enseignants.lumni.fr/194.127.249.63","443","OK","ECDSA with SHA384","",""
"cert_keySize","enseignants.lumni.fr/194.127.249.63","443","OK","EC 384 bits (curve P-384)","",""
"cert_keyUsage","enseignants.lumni.fr/194.127.249.63","443","INFO","Digital Signature","",""
"cert_extKeyUsage","enseignants.lumni.fr/194.127.249.63","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","enseignants.lumni.fr/194.127.249.63","443","INFO","4A902AC2913E08749C296D9F","",""
"cert_serialNumberLen","enseignants.lumni.fr/194.127.249.63","443","INFO","12","",""
"cert_fingerprintSHA1","enseignants.lumni.fr/194.127.249.63","443","INFO","977629A898558F0923909FCCB10786A09917968C","",""
