"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","expertisefrance.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","expertisefrance.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","expertisefrance.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","expertisefrance.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","expertisefrance.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","expertisefrance.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","expertisefrance.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","expertisefrance.fr/87.98.187.73","443","OK","offered with final","",""
"NPN","expertisefrance.fr/87.98.187.73","443","INFO","not offered","",""
"ALPN_HTTP2","expertisefrance.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","expertisefrance.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","expertisefrance.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","expertisefrance.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","expertisefrance.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","expertisefrance.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","expertisefrance.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","expertisefrance.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","expertisefrance.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","expertisefrance.fr/87.98.187.73","443","OK","server","",""
"cipher-tls1_2_xc02b","expertisefrance.fr/87.98.187.73","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc02c","expertisefrance.fr/87.98.187.73","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","expertisefrance.fr/87.98.187.73","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","expertisefrance.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","expertisefrance.fr/87.98.187.73","443","INFO","false","",""
"cipher_order-tls1_3","expertisefrance.fr/87.98.187.73","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","expertisefrance.fr/87.98.187.73","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","expertisefrance.fr/87.98.187.73","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","expertisefrance.fr/87.98.187.73","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","expertisefrance.fr/87.98.187.73","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","expertisefrance.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","expertisefrance.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","expertisefrance.fr/87.98.187.73","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","expertisefrance.fr/87.98.187.73","443","OK","prime256v1 X25519","",""
"FS_TLS12_sig_algs","expertisefrance.fr/87.98.187.73","443","LOW","ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512 ECDSA+SHA1","",""
"FS_TLS13_sig_algs","expertisefrance.fr/87.98.187.73","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","expertisefrance.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","expertisefrance.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","expertisefrance.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","expertisefrance.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","expertisefrance.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","expertisefrance.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","expertisefrance.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","expertisefrance.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","expertisefrance.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","expertisefrance.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","expertisefrance.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","expertisefrance.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","expertisefrance.fr/87.98.187.73","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","expertisefrance.fr/87.98.187.73","443","INFO","058943D939D48580E1A0455EFEA1B988464D","",""
"cert_serialNumberLen","expertisefrance.fr/87.98.187.73","443","INFO","18","",""
"cert_fingerprintSHA1","expertisefrance.fr/87.98.187.73","443","INFO","D92D9220BB4D3322C8F3564A46799DA91803DE42","",""
"cert_fingerprintSHA256","expertisefrance.fr/87.98.187.73","443","INFO","6A61746A5352DFA0179BFE05D31348F2E69585A71184E91ADDCE894ED2F8440A","",""
"cert","expertisefrance.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDrTCCAzSgAwIBAgISBYlD2TnUhYDhoEVe/qG5iEZNMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODAeFw0yNTEwMjIxMDQzMjFaFw0yNjAxMjAxMDQzMjBaMCExHzAdBgNVBAMTFnd3dy5leHBlcnRpc2VmcmFuY2UuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAAS6U6kiex1W1Vihnr5vo/dCLJsNjFm//xOUHPujj1KehWJ1ayg3g6EyuJz++4bnPitabxt1eebovj4Fv0Dec3+Vo4ICOTCCAjUwDgYDVR0PAQH/BAQDAgeAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBRkdVhGb/4faNhBGROEXsuhk2OfjTAfBgNVHSMEGDAWgBSPDROi9i5+0VBsMxg4XVmOI3KRyjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly9lOC5pLmxlbmNyLm9yZy8wNQYDVR0RBC4wLIISZXhwZXJ0aXNlZnJhbmNlLmZyghZ3d3cuZXhwZXJ0aXNlZnJhbmNlLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC0GA1UdHwQmMCQwIqAgoB6GHGh0dHA6Ly9lOC5jLmxlbmNyLm9yZy83OC5jcmwwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdwAZhtTHKKpv/roDb3gqTQGRqs4tcjEPrs5dcEEtJUzH1AAAAZoLubecAAAEAwBIMEYCIQCUM47yLxjswTC51n7Ssc/UZNA4IHmQ7KppfItfAfGWVwIhANcL7+R04cG6K5ujPH8zCzuklqcWQhjMIfqLw0T7QvffAHYADleUvPOuqT4zGyyZB7P3kN+bwj1xMiXdIaklrGHFTiEAAAGaC7m3jQAABAMARzBFAiBlfcX1RPxBkj5z40PdADX0F38k4QuCbEX0Gw4+P8w6xAIhAMahjI/z5RxwJYkRFbF1+breZePkTxfGQwuKSWeaCHPfMAoGCCqGSM49BAMDA2cAMGQCMDcRrRPGde7BtiS/3iCDAIDFq4TTvYVzR/YKNTkVvdNn6K9LWWnstEL47dwC+CJBGAIwF0ZT6IlntwsHwvXjwSS0IEuCOspY9ePdMUlkp9phsi4v1D+6oiwgp/PgYkGfpi1N\n-----END CERTIFICATE-----","",""
"cert_commonName","expertisefrance.fr/87.98.187.73","443","OK","www.expertisefrance.fr","",""
"cert_commonName_wo_SNI","expertisefrance.fr/87.98.187.73","443","INFO","request w/o SNI didn't succeed, usual for EC certificates","",""
"cert_subjectAltName","expertisefrance.fr/87.98.187.73","443","INFO","expertisefrance.fr www.expertisefrance.fr","",""
"cert_trust","expertisefrance.fr/87.98.187.73","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","expertisefrance.fr/87.98.187.73","443","OK","passed.","",""
"cert_certificatePolicies_EV","expertisefrance.fr/87.98.187.73","443","INFO","no","",""
"cert_expirationStatus","expertisefrance.fr/87.98.187.73","443","OK","77 >= 30 days","",""
"cert_notBefore","expertisefrance.fr/87.98.187.73","443","INFO","2025-10-22 10:43","",""
"cert_notAfter","expertisefrance.fr/87.98.187.73","443","OK","2026-01-20 10:43","",""
"cert_extlifeSpan","expertisefrance.fr/87.98.187.73","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","expertisefrance.fr/87.98.187.73","443","INFO","not present","",""
"cert_crlDistributionPoints","expertisefrance.fr/87.98.187.73","443","INFO","http://e8.c.lencr.org/78.crl","",""
"cert_ocspURL","expertisefrance.fr/87.98.187.73","443","INFO","--","",""
"OCSP_stapling","expertisefrance.fr/87.98.187.73","443","INFO","not offered","",""
"cert_mustStapleExtension","expertisefrance.fr/87.98.187.73","443","INFO","--","",""
"DNS_CAArecord","expertisefrance.fr/87.98.187.73","443","LOW","--","",""
"certificate_transparency","expertisefrance.fr/87.98.187.73","443","OK","yes (certificate extension)","",""
"certs_countServer","expertisefrance.fr/87.98.187.73","443","INFO","2","",""
"certs_list_ordering_problem","expertisefrance.fr/87.98.187.73","443","INFO","no","",""
"cert_caIssuers","expertisefrance.fr/87.98.187.73","443","INFO","E8 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","expertisefrance.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVjCCAj6gAwIBAgIQY5WTY8JOcIJxWRi/w9ftVjANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODB2MBAGByqGSM49AgEGBSuBBAAiA2IABNFl8l7cS7QMApzSsvru6WyrOq44ofTUOTIzxULUzDMMNMchIJBwXOhiLxxxs0LXeb5GDcHbR6EToMffgSZjO9SNHfY9gjMy9vQr5/WWOrQTZxh7az6NSNnq3u2ubT6HTKOB+DCB9TAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFI8NE6L2Ln7RUGwzGDhdWY4jcpHKMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMA0GCSqGSIb3DQEBCwUAA4ICAQBnE0hGINKsCYWi0Xx1ygxD5qihEjZ0RI3tTZz1wuATH3ZwYPIp97kWEayanD1j0cDhIYzy4CkDo2jB8D5t0a6zZWzlr98dAQFNh8uKJkIHdLShy+nUyeZxc5bNeMp1Lu0gSzE4McqfmNMvIpeiwWSYO9w82Ob8otvXcO2JUYi3svHIWRm3+707DUbL51XMcY2iZdlCq4Wa9nbuk3WTU4gr6LY8MzVAaDQG2+4U3eJ6qUF10bBnR1uuVyDYs9RhrwucRVnfuDj29CMLTsplM5f5wSV5hUpmUwp/vV7M4w4aGunt74koX71n4EdagCsL/Yk5+mAQU0+tue0JOfAV/R6t1k+Xk9s2HMQFeoxppfzAVC04FdG9M+AC2JWxmFSt6BCuh3CEey3fE52Qrj9YM75rtvIjsm/1Hl+u//Wqxnu1ZQ4jpa+VpuZiGOlWrqSP9eogdOhCGisnyewWJwRQOqK16wiGyZeRxs/Bekw65vwSIaVkBruPiTfMOo0Zh4gVa8/qJgMbJbyrwwG97z/PRgmLKCDl8z3dtA0Z7qq7fta0Gl24uyuB05dqI5J1LvAzKuWdIjT1tP8qCoxSE/xpix8hX2dt3h+/jujUgFPFZ0EVZ0xSyBNRF3MboGZnYXFUxpNjTWPKpagDHJQmqrAcDmWJnMsFY3jSu1igv3OefnWjSQ==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","expertisefrance.fr/87.98.187.73","443","INFO","83624FD338C8D9B023C18A67CB7A9C0519DA43D11775B4C6CBDAD45C3D997C52","",""
"intermediate_cert_notBefore <#1>","expertisefrance.fr/87.98.187.73","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","expertisefrance.fr/87.98.187.73","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","expertisefrance.fr/87.98.187.73","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","expertisefrance.fr/87.98.187.73","443","INFO","E8 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","expertisefrance.fr/87.98.187.73","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","expertisefrance.fr/87.98.187.73","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","expertisefrance.fr/87.98.187.73","443","INFO","-1778 seconds from localtime","",""
"HTTP_headerTime","expertisefrance.fr/87.98.187.73","443","INFO","1762199948","",""
"HSTS_time","expertisefrance.fr/87.98.187.73","443","OK","365 days (=31536000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","expertisefrance.fr/87.98.187.73","443","OK","includes subdomains","",""
"HSTS_preload","expertisefrance.fr/87.98.187.73","443","INFO","domain is NOT marked for preloading","",""
"HPKP","expertisefrance.fr/87.98.187.73","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","expertisefrance.fr/87.98.187.73","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","expertisefrance.fr/87.98.187.73","443","INFO","No application banner found","",""
"cookie_count","expertisefrance.fr/87.98.187.73","443","INFO","1 at '/' (30x detected, better try target URL of 30x)","",""
"cookie_secure","expertisefrance.fr/87.98.187.73","443","OK","All (1) at '/' marked as secure","",""
"cookie_httponly","expertisefrance.fr/87.98.187.73","443","OK","All (1) at '/' marked as HttpOnly (30x detected, better try target URL of 30x)","",""
"X-Frame-Options","expertisefrance.fr/87.98.187.73","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","expertisefrance.fr/87.98.187.73","443","OK","nosniff","",""
"Cache-Control","expertisefrance.fr/87.98.187.73","443","INFO","must-revalidate, no-cache, private","",""
"banner_reverseproxy","expertisefrance.fr/87.98.187.73","443","INFO","--","","CWE-200"
"heartbleed","expertisefrance.fr/87.98.187.73","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","expertisefrance.fr/87.98.187.73","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","expertisefrance.fr/87.98.187.73","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","expertisefrance.fr/87.98.187.73","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","expertisefrance.fr/87.98.187.73","443","OK","supported","","CWE-310"
"secure_client_renego","expertisefrance.fr/87.98.187.73","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","expertisefrance.fr/87.98.187.73","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","expertisefrance.fr/87.98.187.73","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
