"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","HTTP","",""
"pre_128cipher","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","No 128 cipher limit bug","",""
"SSLv2","formation.sidca.interieur.gouv.fr/143.196.253.113","443","OK","not offered","",""
"SSLv3","formation.sidca.interieur.gouv.fr/143.196.253.113","443","OK","not offered","",""
"TLS1","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","not offered","",""
"TLS1_1","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","not offered","",""
"TLS1_2","formation.sidca.interieur.gouv.fr/143.196.253.113","443","OK","offered","",""
"TLS1_3","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","not offered","",""
"ALPN","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","http/1.1","",""
"cipherlist_NULL","formation.sidca.interieur.gouv.fr/143.196.253.113","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","formation.sidca.interieur.gouv.fr/143.196.253.113","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","formation.sidca.interieur.gouv.fr/143.196.253.113","443","OK","not offered","","CWE-327"
"cipherlist_LOW","formation.sidca.interieur.gouv.fr/143.196.253.113","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","formation.sidca.interieur.gouv.fr/143.196.253.113","443","INFO","not offered","",""
"cipherlist_STRONG_FS","formation.sidca.interieur.gouv.fr/143.196.253.113","443","OK","offered","",""
"cipher_order-tls1_2","formation.sidca.interieur.gouv.fr/143.196.253.113","443","OK","server","",""
