"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","france-enfance-protegee.fr/46.18.135.251","443","INFO","HTTP","",""
"pre_128cipher","france-enfance-protegee.fr/46.18.135.251","443","INFO","No 128 cipher limit bug","",""
"SSLv2","france-enfance-protegee.fr/46.18.135.251","443","OK","not offered","",""
"SSLv3","france-enfance-protegee.fr/46.18.135.251","443","OK","not offered","",""
"TLS1","france-enfance-protegee.fr/46.18.135.251","443","INFO","not offered","",""
"TLS1_1","france-enfance-protegee.fr/46.18.135.251","443","INFO","not offered","",""
"TLS1_2","france-enfance-protegee.fr/46.18.135.251","443","OK","offered","",""
"TLS1_3","france-enfance-protegee.fr/46.18.135.251","443","OK","offered with final","",""
"NPN","france-enfance-protegee.fr/46.18.135.251","443","INFO","not offered","",""
"ALPN","france-enfance-protegee.fr/46.18.135.251","443","INFO","http/1.1","",""
"cipherlist_NULL","france-enfance-protegee.fr/46.18.135.251","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","france-enfance-protegee.fr/46.18.135.251","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","france-enfance-protegee.fr/46.18.135.251","443","OK","not offered","","CWE-327"
"cipherlist_LOW","france-enfance-protegee.fr/46.18.135.251","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","france-enfance-protegee.fr/46.18.135.251","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","france-enfance-protegee.fr/46.18.135.251","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","france-enfance-protegee.fr/46.18.135.251","443","OK","offered","",""
"cipherlist_STRONG_FS","france-enfance-protegee.fr/46.18.135.251","443","OK","offered","",""
"cipher_order-tls1_2","france-enfance-protegee.fr/46.18.135.251","443","LOW","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","france-enfance-protegee.fr/46.18.135.251","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","france-enfance-protegee.fr/46.18.135.251","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","france-enfance-protegee.fr/46.18.135.251","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9f","france-enfance-protegee.fr/46.18.135.251","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","france-enfance-protegee.fr/46.18.135.251","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xccaa","france-enfance-protegee.fr/46.18.135.251","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 2048    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc0a3","france-enfance-protegee.fr/46.18.135.251","443","OK","TLSv1.2   xc0a3   DHE-RSA-AES256-CCM8               DH 2048    AESCCM8     256      TLS_DHE_RSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc09f","france-enfance-protegee.fr/46.18.135.251","443","OK","TLSv1.2   xc09f   DHE-RSA-AES256-CCM                DH 2048    AESCCM      256      TLS_DHE_RSA_WITH_AES_256_CCM","",""
