"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","france-visas.gouv.fr/141.101.90.96","443","INFO","HTTP","",""
"pre_128cipher","france-visas.gouv.fr/141.101.90.96","443","INFO","No 128 cipher limit bug","",""
"SSLv2","france-visas.gouv.fr/141.101.90.96","443","OK","not offered","",""
"SSLv3","france-visas.gouv.fr/141.101.90.96","443","OK","not offered","",""
"TLS1","france-visas.gouv.fr/141.101.90.96","443","INFO","not offered","",""
"TLS1_1","france-visas.gouv.fr/141.101.90.96","443","INFO","not offered","",""
"TLS1_2","france-visas.gouv.fr/141.101.90.96","443","OK","offered","",""
"TLS1_3","france-visas.gouv.fr/141.101.90.96","443","OK","offered with final","",""
"ALPN_HTTP2","france-visas.gouv.fr/141.101.90.96","443","OK","h2","",""
"ALPN","france-visas.gouv.fr/141.101.90.96","443","INFO","http/1.1","",""
"cipherlist_NULL","france-visas.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","france-visas.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","france-visas.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_LOW","france-visas.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","france-visas.gouv.fr/141.101.90.96","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","france-visas.gouv.fr/141.101.90.96","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","france-visas.gouv.fr/141.101.90.96","443","OK","offered","",""
"cipherlist_STRONG_FS","france-visas.gouv.fr/141.101.90.96","443","OK","offered","",""
"cipher_order-tls1_2","france-visas.gouv.fr/141.101.90.96","443","OK","server","",""
"cipherorder_TLSv1_2","france-visas.gouv.fr/141.101.90.96","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","france-visas.gouv.fr/141.101.90.96","443","OK","server -- TLS 1.3 client determined","",""
"FS","france-visas.gouv.fr/141.101.90.96","443","OK","offered","",""
"FS_ciphers","france-visas.gouv.fr/141.101.90.96","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","france-visas.gouv.fr/141.101.90.96","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","france-visas.gouv.fr/141.101.90.96","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","france-visas.gouv.fr/141.101.90.96","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","france-visas.gouv.fr/141.101.90.96","443","INFO","yes","",""
"sessionresumption_ticket","france-visas.gouv.fr/141.101.90.96","443","INFO","supported","",""
"sessionresumption_ID","france-visas.gouv.fr/141.101.90.96","443","INFO","not supported","",""
"TLS_timestamp","france-visas.gouv.fr/141.101.90.96","443","INFO","random","",""
"certificate_compression","france-visas.gouv.fr/141.101.90.96","443","INFO","0002/Brotli","",""
"clientAuth","france-visas.gouv.fr/141.101.90.96","443","INFO","none","",""
"cert_numbers","france-visas.gouv.fr/141.101.90.96","443","INFO","1","",""
"cert_signatureAlgorithm","france-visas.gouv.fr/141.101.90.96","443","OK","SHA256 with RSA","",""
"cert_keySize","france-visas.gouv.fr/141.101.90.96","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","france-visas.gouv.fr/141.101.90.96","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","france-visas.gouv.fr/141.101.90.96","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","france-visas.gouv.fr/141.101.90.96","443","INFO","06843A6E9CE4F74ED4F6306EC7E79DDF","",""
"cert_serialNumberLen","france-visas.gouv.fr/141.101.90.96","443","INFO","16","",""
"cert_fingerprintSHA1","france-visas.gouv.fr/141.101.90.96","443","INFO","7D7B74338FD6841ECCDA77F9FF48D318C5F48BA5","",""
"cert_fingerprintSHA256","france-visas.gouv.fr/141.101.90.96","443","INFO","F86B39F9A1CE44005D2873CCBE81B5284DFBD99D97DAB741D489DC9AD66EABF3","",""
