"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","frenchtechsf.org/3.33.178.216","443","INFO","HTTP","",""
"pre_128cipher","frenchtechsf.org/3.33.178.216","443","INFO","No 128 cipher limit bug","",""
"SSLv2","frenchtechsf.org/3.33.178.216","443","OK","not offered","",""
"SSLv3","frenchtechsf.org/3.33.178.216","443","OK","not offered","",""
"TLS1","frenchtechsf.org/3.33.178.216","443","LOW","offered (deprecated)","",""
"TLS1_1","frenchtechsf.org/3.33.178.216","443","LOW","offered (deprecated)","",""
"TLS1_2","frenchtechsf.org/3.33.178.216","443","OK","offered","",""
"TLS1_3","frenchtechsf.org/3.33.178.216","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","frenchtechsf.org/3.33.178.216","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","frenchtechsf.org/3.33.178.216","443","OK","h2","",""
"ALPN","frenchtechsf.org/3.33.178.216","443","INFO","http/1.1","",""
"cipherlist_NULL","frenchtechsf.org/3.33.178.216","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","frenchtechsf.org/3.33.178.216","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","frenchtechsf.org/3.33.178.216","443","OK","not offered","","CWE-327"
"cipherlist_LOW","frenchtechsf.org/3.33.178.216","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","frenchtechsf.org/3.33.178.216","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","frenchtechsf.org/3.33.178.216","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","frenchtechsf.org/3.33.178.216","443","OK","offered","",""
"cipherlist_STRONG_FS","frenchtechsf.org/3.33.178.216","443","OK","offered","",""
"cipher_order-tls1","frenchtechsf.org/3.33.178.216","443","OK","server","",""
"cipher-tls1_xc013","frenchtechsf.org/3.33.178.216","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc014","frenchtechsf.org/3.33.178.216","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x2f","frenchtechsf.org/3.33.178.216","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","frenchtechsf.org/3.33.178.216","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1","frenchtechsf.org/3.33.178.216","443","INFO","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA AES128-SHA AES256-SHA","",""
"cipher_order-tls1_1","frenchtechsf.org/3.33.178.216","443","OK","server","",""
"cipher-tls1_1_xc013","frenchtechsf.org/3.33.178.216","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_xc014","frenchtechsf.org/3.33.178.216","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
