"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","geo.data.gouv.fr/37.59.183.74","443","INFO","HTTP","",""
"pre_128cipher","geo.data.gouv.fr/37.59.183.74","443","INFO","No 128 cipher limit bug","",""
"SSLv2","geo.data.gouv.fr/37.59.183.74","443","OK","not offered","",""
"SSLv3","geo.data.gouv.fr/37.59.183.74","443","OK","not offered","",""
"TLS1","geo.data.gouv.fr/37.59.183.74","443","INFO","not offered","",""
"TLS1_1","geo.data.gouv.fr/37.59.183.74","443","INFO","not offered","",""
"TLS1_2","geo.data.gouv.fr/37.59.183.74","443","OK","offered","",""
"TLS1_3","geo.data.gouv.fr/37.59.183.74","443","OK","offered with final","",""
"NPN","geo.data.gouv.fr/37.59.183.74","443","INFO","not offered","",""
"ALPN_HTTP2","geo.data.gouv.fr/37.59.183.74","443","OK","h2","",""
"ALPN","geo.data.gouv.fr/37.59.183.74","443","INFO","http/1.1","",""
"cipherlist_NULL","geo.data.gouv.fr/37.59.183.74","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","geo.data.gouv.fr/37.59.183.74","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","geo.data.gouv.fr/37.59.183.74","443","OK","not offered","","CWE-327"
"cipherlist_LOW","geo.data.gouv.fr/37.59.183.74","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","geo.data.gouv.fr/37.59.183.74","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","geo.data.gouv.fr/37.59.183.74","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","geo.data.gouv.fr/37.59.183.74","443","INFO","not offered","",""
"cipherlist_STRONG_FS","geo.data.gouv.fr/37.59.183.74","443","OK","offered","",""
"cipher_order-tls1_2","geo.data.gouv.fr/37.59.183.74","443","OK","server","",""
"cipher-tls1_2_xc02c","geo.data.gouv.fr/37.59.183.74","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","geo.data.gouv.fr/37.59.183.74","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
