"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","harkis.gouv.fr/217.70.184.55","443","INFO","HTTP","",""
"pre_128cipher","harkis.gouv.fr/217.70.184.55","443","INFO","No 128 cipher limit bug","",""
"SSLv2","harkis.gouv.fr/217.70.184.55","443","OK","not offered","",""
"SSLv3","harkis.gouv.fr/217.70.184.55","443","OK","not offered","",""
"TLS1","harkis.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_1","harkis.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_2","harkis.gouv.fr/217.70.184.55","443","OK","offered","",""
"TLS1_3","harkis.gouv.fr/217.70.184.55","443","OK","offered with final","",""
"NPN","harkis.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"ALPN","harkis.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_NULL","harkis.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","harkis.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","harkis.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_LOW","harkis.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","harkis.gouv.fr/217.70.184.55","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","harkis.gouv.fr/217.70.184.55","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","harkis.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_STRONG_FS","harkis.gouv.fr/217.70.184.55","443","OK","offered","",""
"cipher_order-tls1_2","harkis.gouv.fr/217.70.184.55","443","LOW","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","harkis.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","harkis.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xcca9","harkis.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","harkis.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","harkis.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","harkis.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order-tls1_3","harkis.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","harkis.gouv.fr/217.70.184.55","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","harkis.gouv.fr/217.70.184.55","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","harkis.gouv.fr/217.70.184.55","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","harkis.gouv.fr/217.70.184.55","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","harkis.gouv.fr/217.70.184.55","443","LOW","NOT a cipher order configured","",""
"FS","harkis.gouv.fr/217.70.184.55","443","OK","offered","",""
"FS_ciphers","harkis.gouv.fr/217.70.184.55","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"FS_ECDHE_curves","harkis.gouv.fr/217.70.184.55","443","OK","prime256v1 secp384r1 X25519","",""
"FS_TLS12_sig_algs","harkis.gouv.fr/217.70.184.55","443","LOW","ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512 ECDSA+SHA1","",""
"FS_TLS13_sig_algs","harkis.gouv.fr/217.70.184.55","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","harkis.gouv.fr/217.70.184.55","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","harkis.gouv.fr/217.70.184.55","443","INFO","valid for 299 seconds only (<daily)","",""
"SSL_sessionID_support","harkis.gouv.fr/217.70.184.55","443","INFO","yes","",""
"sessionresumption_ticket","harkis.gouv.fr/217.70.184.55","443","INFO","supported","",""
"sessionresumption_ID","harkis.gouv.fr/217.70.184.55","443","INFO","supported","",""
"TLS_timestamp","harkis.gouv.fr/217.70.184.55","443","INFO","random","",""
"certificate_compression","harkis.gouv.fr/217.70.184.55","443","INFO","none","",""
"clientAuth","harkis.gouv.fr/217.70.184.55","443","INFO","none","",""
"cert_numbers","harkis.gouv.fr/217.70.184.55","443","INFO","1","",""
"cert_signatureAlgorithm","harkis.gouv.fr/217.70.184.55","443","OK","SHA256 with RSA","",""
"cert_keySize","harkis.gouv.fr/217.70.184.55","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","harkis.gouv.fr/217.70.184.55","443","INFO","Digital Signature, Key Agreement","",""
"cert_extKeyUsage","harkis.gouv.fr/217.70.184.55","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","harkis.gouv.fr/217.70.184.55","443","INFO","0DB7978E7F06333E4F3F757E6D1009FF","",""
"cert_serialNumberLen","harkis.gouv.fr/217.70.184.55","443","INFO","16","",""
"cert_fingerprintSHA1","harkis.gouv.fr/217.70.184.55","443","INFO","250FEEF6315993348FE426D6777F6D628CF78124","",""
"cert_fingerprintSHA256","harkis.gouv.fr/217.70.184.55","443","INFO","82CF86CD2854AEDD30B8BE2A619DC07914BE0433D1ED80308B48B58955A76A7A","",""
"cert","harkis.gouv.fr/217.70.184.55","443","INFO","-----BEGIN CERTIFICATE-----\nMIIF2zCCA8OgAwIBAgIQDbeXjn8GMz5PP3V+bRAJ/zANBgkqhkiG9w0BAQsFADA1MQswCQYDVQQGEwJGUjESMBAGA1UEChMJR2FuZGkgU0FTMRIwEAYDVQQDEwlHYW5kaUNlcnQwHhcNMjUwMTEzMDAwMDAwWhcNMjYwMTEzMjM1OTU5WjAZMRcwFQYDVQQDEw5oYXJraXMuZ291di5mcjBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABPtRKtt36DM3SjcrEk+FPu0UlVxzGMUq4XUtU4cfgl+7n4RZOacCrOqGynpWDvBIPlwQdabYMeGzrjNGOgDCNbSjggLMMIICyDAfBgNVHSMEGDAWgBS6u0aIRezdWisYxdFO7OM8BlJTrDAdBgNVHQ4EFgQUEDpUfNRlFTqmxiTAXd4t43kqw10wGQYDVR0RBBIwEIIOaGFya2lzLmdvdXYuZnIwPgYDVR0gBDcwNTAzBgZngQwBAgEwKTAnBggrBgEFBQcCARYbaHR0cDovL3d3dy5kaWdpY2VydC5jb20vQ1BTMA4GA1UdDwEB/wQEAwIDiDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwawYIKwYBBQUHAQEEXzBdMCQGCCsGAQUFBzABhhhodHRwOi8vb2NzcC5kaWdpY2VydC5jb20wNQYIKwYBBQUHMAKGKWh0dHA6Ly9jYWNlcnRzLmRpZ2ljZXJ0LmNvbS9HYW5kaUNlcnQuY3J0MAwGA1UdEwEB/wQCMAAwggF/BgorBgEEAdZ5AgQCBIIBbwSCAWsBaQB3AJaXZL9VWJet90OHaDcIQnfp8DrV9qTzNm5GpD8PyqnGAAABlF826kcAAAQDAEgwRgIhAKN5bCUNVVxgCPhF0U0g+NTvkw5m3ddflGcvSrU4i4ryAiEAsnyFsvG1cbs+gGTyGepgOneQxcPQlmtLZdZiY+OtTmQAdQBkEcRspBLsp4kcogIuALyrTygH1B41J6vq/tUDyX3N8AAAAZRfNuo1AAAEAwBGMEQCIFNiwtpguAUCZGz27dS/xhkbHRoldLDyLqd6I/z9eZUvAiBNwuvTbht001qI3Oc2W5YyLPXJK+6+NmRGKHrdfKmeigB3AEmcm2neHXzs/DbezYdkprhbrwqHgBnRVVL76esp3fjDAAABlF826kwAAAQDAEgwRgIhANoko4zvG6IEUpU7Z1h1QDbqtQScynmPbLEesBQpl8rEAiEA2sC+Ej5xiMmZZQuxEI2sYCvFtRf4hQk8sI/OZOehxtIwDQYJKoZIhvcNAQELBQADggIBAFQVdgZkw+hH++h6HAMdvZAPgi7JIKLPWBo3YhshWGaAJy9TTUZ8b864AX9Zhksw1u7jScLnXgaMuHrYJcOZdueGosQ9EMYHTgmVRjQOz/3Oy0k4zReDrcBFgBc6LvOLim1azPYygQPubs8AQAyKvKHX+Tmg8d+bdKWJHKLgElslkycngS68ltvxrrFNzKTzSFUyAg0iS1ozU9FU87y3keS2un3uq4smmI2Nz/J2XDMrAesnV+x5GNLm6C8swOSCn62mvMSXqHWVGwNiJ7PlbRns9G8QaJRIKbdnVlOkluVqqrmCzliLcldYAaVlqoPYSRVo3gcvceIn5J8Y7Zsoui/UFPjLMWRr1ElKiZe2ahXm4sQU5WAJcadcH6+EYA2Qx5eAbbVpNg9b7JU1PNAy3xiWPKqeyd3crFkG3iPwwTMlYTrRDhHXYtSG5RMVWK+L5zj63qtPLS9e1+JMRphMt+19cme9JKYhHazJsD07nS8ybiqRo3oyCJDyqZpemCErPKGn+/6+zMqCcY+UETSH+vDnO7Z4ahJSW/CVH8u0Ey9eB0ejOqsDhck5eEOQbQVZeGZpKz4L5zLcsCxn9vhn3y1M+dXdSpAJoL/n6kXawmb5iYX6YP1IoleQSqvaTRMOTLGAgM9zn21wcLPjfUjS+0TwdXxvLIpe4aOMV+movWNE\n-----END CERTIFICATE-----","",""
"cert_commonName","harkis.gouv.fr/217.70.184.55","443","OK","harkis.gouv.fr","",""
"cert_commonName_wo_SNI","harkis.gouv.fr/217.70.184.55","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","harkis.gouv.fr/217.70.184.55","443","INFO","harkis.gouv.fr","",""
"cert_trust","harkis.gouv.fr/217.70.184.55","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","harkis.gouv.fr/217.70.184.55","443","OK","passed.","",""
"cert_certificatePolicies_EV","harkis.gouv.fr/217.70.184.55","443","INFO","no","",""
"cert_expirationStatus","harkis.gouv.fr/217.70.184.55","443","OK","111 >= 60 days","",""
"cert_notBefore","harkis.gouv.fr/217.70.184.55","443","INFO","2025-01-13 00:00","",""
"cert_notAfter","harkis.gouv.fr/217.70.184.55","443","OK","2026-01-13 23:59","",""
"cert_extlifeSpan","harkis.gouv.fr/217.70.184.55","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","harkis.gouv.fr/217.70.184.55","443","INFO","not present","",""
"cert_crlDistributionPoints","harkis.gouv.fr/217.70.184.55","443","INFO","--","",""
"cert_ocspURL","harkis.gouv.fr/217.70.184.55","443","INFO","http://ocsp.digicert.com","",""
"OCSP_stapling","harkis.gouv.fr/217.70.184.55","443","OK","offered","",""
"cert_ocspRevoked","harkis.gouv.fr/217.70.184.55","443","OK","not revoked","",""
"cert_mustStapleExtension","harkis.gouv.fr/217.70.184.55","443","INFO","--","",""
"DNS_CAArecord","harkis.gouv.fr/217.70.184.55","443","LOW","--","",""
"certificate_transparency","harkis.gouv.fr/217.70.184.55","443","OK","yes (certificate extension)","",""
