"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","INFO","HTTP","",""
"pre_128cipher","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","INFO","No 128 cipher limit bug","",""
"SSLv2","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","not offered","",""
"SSLv3","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","not offered","",""
"TLS1","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","INFO","not offered","",""
"TLS1_1","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","INFO","not offered","",""
"TLS1_2","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","offered","",""
"TLS1_3","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","offered with final","",""
"NPN","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","INFO","not offered","",""
"ALPN_HTTP2","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","h2","",""
"ALPN","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","INFO","http/1.1","",""
"cipherlist_NULL","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","not offered","","CWE-327"
"cipherlist_LOW","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","offered","",""
"cipherlist_STRONG_FS","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","offered","",""
"cipher_order-tls1_2","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","server","",""
"cipher-tls1_2_xcca8","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc027","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc013","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc014","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x67","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x33","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x6b","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x39","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9c","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9d","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x3c","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x3d","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x2f","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x35","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_2","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","INFO","ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA AES128-GCM-SHA256 AES256-GCM-SHA384 AES128-SHA256 AES256-SHA256 AES128-SHA AES256-SHA","",""
"cipher_order-tls1_3","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","server","",""
"cipher-tls1_3_x1302","hialaveran.sante.defense.gouv.fr/46.105.55.23","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
