"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","identite.proconnect.gouv.fr/80.247.12.255","443","INFO","HTTP","",""
"pre_128cipher","identite.proconnect.gouv.fr/80.247.12.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","identite.proconnect.gouv.fr/80.247.12.255","443","OK","not offered","",""
"SSLv3","identite.proconnect.gouv.fr/80.247.12.255","443","OK","not offered","",""
"TLS1","identite.proconnect.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_1","identite.proconnect.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_2","identite.proconnect.gouv.fr/80.247.12.255","443","OK","offered","",""
"TLS1_3","identite.proconnect.gouv.fr/80.247.12.255","443","OK","offered with final","",""
"NPN","identite.proconnect.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"ALPN_HTTP2","identite.proconnect.gouv.fr/80.247.12.255","443","OK","h2","",""
"ALPN","identite.proconnect.gouv.fr/80.247.12.255","443","INFO","http/1.1","",""
"cipherlist_NULL","identite.proconnect.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","identite.proconnect.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","identite.proconnect.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","identite.proconnect.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","identite.proconnect.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","identite.proconnect.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","identite.proconnect.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"cipherlist_STRONG_FS","identite.proconnect.gouv.fr/80.247.12.255","443","OK","offered","",""
"cipher_order-tls1_2","identite.proconnect.gouv.fr/80.247.12.255","443","OK","server","",""
"cipher-tls1_2_xc030","identite.proconnect.gouv.fr/80.247.12.255","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","identite.proconnect.gouv.fr/80.247.12.255","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","identite.proconnect.gouv.fr/80.247.12.255","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
