"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","imt-atlantique.fr/192.108.117.237","443","INFO","HTTP","",""
"pre_128cipher","imt-atlantique.fr/192.108.117.237","443","INFO","No 128 cipher limit bug","",""
"SSLv2","imt-atlantique.fr/192.108.117.237","443","OK","not offered","",""
"SSLv3","imt-atlantique.fr/192.108.117.237","443","OK","not offered","",""
"TLS1","imt-atlantique.fr/192.108.117.237","443","INFO","not offered","",""
"TLS1_1","imt-atlantique.fr/192.108.117.237","443","INFO","not offered","",""
"TLS1_2","imt-atlantique.fr/192.108.117.237","443","OK","offered","",""
"TLS1_3","imt-atlantique.fr/192.108.117.237","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","imt-atlantique.fr/192.108.117.237","443","INFO","offered with http/1.1 (advertised)","",""
"ALPN","imt-atlantique.fr/192.108.117.237","443","INFO","not offered","",""
"cipherlist_NULL","imt-atlantique.fr/192.108.117.237","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","imt-atlantique.fr/192.108.117.237","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","imt-atlantique.fr/192.108.117.237","443","OK","not offered","","CWE-327"
"cipherlist_LOW","imt-atlantique.fr/192.108.117.237","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","imt-atlantique.fr/192.108.117.237","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","imt-atlantique.fr/192.108.117.237","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","imt-atlantique.fr/192.108.117.237","443","INFO","not offered","",""
"cipherlist_STRONG_FS","imt-atlantique.fr/192.108.117.237","443","OK","offered","",""
"cipher_order-tls1_2","imt-atlantique.fr/192.108.117.237","443","OK","server","",""
"cipher-tls1_2_xc02f","imt-atlantique.fr/192.108.117.237","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","imt-atlantique.fr/192.108.117.237","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","imt-atlantique.fr/192.108.117.237","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","imt-atlantique.fr/192.108.117.237","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_2","imt-atlantique.fr/192.108.117.237","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","imt-atlantique.fr/192.108.117.237","443","OK","server","",""
"FS","imt-atlantique.fr/192.108.117.237","443","OK","offered","",""
"FS_ciphers","imt-atlantique.fr/192.108.117.237","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","imt-atlantique.fr/192.108.117.237","443","OK","prime256v1","",""
