"id","fqdn/ip","port","severity","finding","cve","cwe"
"optimal_proto","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","innoverpourlatransitionecologique.fr:443 appears to support TLS 1.3 ONLY, switching from /home/testssl/bin/openssl.Linux.x86_64 to /usr/bin/openssl automagically","",""
"engine_problem","innoverpourlatransitionecologique.fr/51.159.204.137","443","WARN","No engine or GOST support via engine with your /usr/bin/openssl","",""
"service","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","HTTP","",""
"pre_128cipher","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","No 128 cipher limit bug","",""
"SSLv2","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","not offered","",""
"SSLv3","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","not offered","",""
"TLS1","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not offered","",""
"TLS1_1","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not offered","",""
"TLS1_2","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not offered","",""
"TLS1_3","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","offered with final","",""
"NPN","innoverpourlatransitionecologique.fr/51.159.204.137","443","WARN","not possible for TLS 1.3-only hosts","",""
"ALPN_HTTP2","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","h2","",""
"ALPN","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","http/1.1","",""
"cipherlist_NULL","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","not offered","","CWE-327"
"cipherlist_LOW","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not offered","",""
"cipherlist_STRONG_FS","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","offered","",""
"cipher_order-tls1_3","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_3_x1301","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 521   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 521   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 521   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_3","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256","",""
"prioritize_chacha_TLSv1_3","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","true","",""
"cipher_order","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","server (TLS 1.3)","",""
"FS","innoverpourlatransitionecologique.fr/51.159.204.137","443","MEDIUM","No ciphers supporting Forward Secrecy offered","",""
"TLS_extensions","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","'supported versions/#43' 'key share/#51'","",""
"TLS_session_ticket","innoverpourlatransitionecologique.fr/51.159.204.137","443","LOW","valid for 604800 seconds (>daily)","",""
"SSL_sessionID_support","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","yes","",""
"sessionresumption_ticket","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not supported","",""
"sessionresumption_ID","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not supported","",""
"TLS_timestamp","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","random","",""
"certificate_compression","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","none","",""
"clientAuth","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","none","",""
"cert_numbers","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","1","",""
"cert_signatureAlgorithm","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","SHA256 with RSA","",""
"cert_keySize","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","05E2ACFFFB0A118444E33B40BC8F5556D100","",""
"cert_serialNumberLen","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","18","",""
"cert_fingerprintSHA1","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","83B39AAEF5869DE8A1699C340D986B58136A4B14","",""
"cert_fingerprintSHA256","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","0F1392FFBCD8FA57784A9AA8AA219F74778FC557A5797CBE91CAF81699DE8F03","",""
"cert","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFIjCCBAqgAwIBAgISBeKs//sKEYRE4ztAvI9VVtEAMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjUwNzI4MDQxNTQ2WhcNMjUxMDI2MDQxNTQ1WjAvMS0wKwYDVQQDEyRpbm5vdmVycG91cmxhdHJhbnNpdGlvbmVjb2xvZ2lxdWUuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC3ov+JdnCOoUqLW9Msr6wV/MFoocmNZHneEmHtF00C09wjnhkawVQbd+oOIDElq/ImoLoRG2cmNAF+At30DPcOn4i03vR0uLdZjYzlCwA0JKJAusLcriKV5skypvb+u0LILD0vk8SgFK8VCyXDqq/xNf+aX8P/JUehNjAyUQ982fRdAVBPwyy0lyR2Zl9fkS6DcsyyNVLnuDyhd0Lf1/2MNXcRVHtyXKe5vCAgeguQA2BRoN+EU36QVdE+8CrDawME/XN1ycTZlDPApoGl/0gU3uELFBEq9OPxHuuEKtA89m6LlLJdouZYoq/Nu/DdrC+CMLu+8gatoPL/5FoPTUivAgMBAAGjggIyMIICLjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFDXygQGAcdZPUxM6cD8mzMmpyrcEMB8GA1UdIwQYMBaAFMXPRqTq9MPAemyVxC2wXpIvJuO5MDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3IxMS5pLmxlbmNyLm9yZy8wLwYDVR0RBCgwJoIkaW5ub3ZlcnBvdXJsYXRyYW5zaXRpb25lY29sb2dpcXVlLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC0GA1UdHwQmMCQwIqAgoB6GHGh0dHA6Ly9yMTEuYy5sZW5jci5vcmcvMS5jcmwwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdQAN4fIwK9MNwUBiEgnqVS78R3R8sdfpMO8OQh60fk6qNAAAAZhPc/g9AAAEAwBGMEQCIAkKG4NJXZ5vMpPjxYROBqbzKHU+fUttGJcXIL1c+WUZAiBfjDq+29ffWbQtuKL5hixE8INwZ+HRNQ5m3smzmYkStgB2AKRCxQZJYGFUjw/U6pz7ei0mRU2HqX8v30VZ9idPOoRUAAABmE90AA0AAAQDAEcwRQIhAM3Fy11wk6q4qW5InpPemvS0Q/hBRvOYPe65LJ6FxZ6cAiBYx0RzAQAiJxgZrEt4Kku0+1Bk2IfeEbD1shPaHuoIZTANBgkqhkiG9w0BAQsFAAOCAQEAf+sr5dqyw2rcjXwP/UJ9ftEgKsw2hPqAbEn7fD17AbngL74X0rFxB2JA1CJ9h1Yqe7eIpSiPirFQ5R3HN+Kr/Bwd/0ALVPuWhSbamFWxbnZGEpNs1jaag0hIvmyHk6F/iOZ4tTzWsn0i5JoUYtKPYbZ7PZ8ZKNgWvS0aLKwKS8iud5obOGBlECBlTnlSCjUxxObHPN9Bh9HmV8m7OK3+44ycyi3QODLWNfw3zU0kBCYvf721FdVYAq0sdUcVFr/TI9xwXTH4LKUjmbRbILnHxX67SiUKmbMKBo2fgmn0AxwvrnsEjPWYVu3qGdaVHEZFduYQ8RDY7w5nfz/5X7EGzQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","innoverpourlatransitionecologique.fr","",""
"cert_commonName_wo_SNI","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","*.prod.ademe-scw.fr","",""
"cert_subjectAltName","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","innoverpourlatransitionecologique.fr","",""
"cert_trust","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","innoverpourlatransitionecologique.fr/51.159.204.137","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","passed.","",""
"cert_certificatePolicies_EV","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","no","",""
"cert_expirationStatus","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","31 >= 30 days","",""
"cert_notBefore","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","2025-07-28 04:15","",""
"cert_notAfter","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","2025-10-26 04:15","",""
"cert_extlifeSpan","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not present","",""
"cert_crlDistributionPoints","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","http://r11.c.lencr.org/1.crl","",""
"cert_ocspURL","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","--","",""
"OCSP_stapling","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","not offered","",""
"cert_mustStapleExtension","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","--","",""
"DNS_CAArecord","innoverpourlatransitionecologique.fr/51.159.204.137","443","LOW","--","",""
"certificate_transparency","innoverpourlatransitionecologique.fr/51.159.204.137","443","OK","yes (certificate extension)","",""
"certs_countServer","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","2","",""
"certs_list_ordering_problem","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","no","",""
"cert_caIssuers","innoverpourlatransitionecologique.fr/51.159.204.137","443","INFO","R11 (Let's Encrypt from US)","",""
