"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","INFO","HTTP","",""
"pre_128cipher","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","INFO","No 128 cipher limit bug","",""
"SSLv2","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","not offered","",""
"SSLv3","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","not offered","",""
"TLS1","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","LOW","offered (deprecated)","",""
"TLS1_1","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","LOW","offered (deprecated)","",""
"TLS1_2","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","offered","",""
"TLS1_3","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","INFO","not offered","",""
"ALPN","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","INFO","http/1.1","",""
"cipherlist_NULL","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","not offered","","CWE-327"
"cipherlist_LOW","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","offered","",""
"cipherlist_STRONG_FS","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","offered","",""
"cipher_order-tls1","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","server","",""
"cipher-tls1_xc013","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","server","",""
"cipher-tls1_1_xc013","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_1","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","infocentre-comedec.ants.gouv.fr/217.108.240.87","443","OK","server","",""
