"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","injs-paris.fr/37.59.167.19","443","INFO","HTTP","",""
"pre_128cipher","injs-paris.fr/37.59.167.19","443","INFO","No 128 cipher limit bug","",""
"SSLv2","injs-paris.fr/37.59.167.19","443","OK","not offered","",""
"SSLv3","injs-paris.fr/37.59.167.19","443","OK","not offered","",""
"TLS1","injs-paris.fr/37.59.167.19","443","LOW","offered (deprecated)","",""
"TLS1_1","injs-paris.fr/37.59.167.19","443","LOW","offered (deprecated)","",""
"TLS1_2","injs-paris.fr/37.59.167.19","443","OK","offered","",""
"TLS1_3","injs-paris.fr/37.59.167.19","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","injs-paris.fr/37.59.167.19","443","INFO","not offered","",""
"ALPN","injs-paris.fr/37.59.167.19","443","INFO","http/1.1","",""
"cipherlist_NULL","injs-paris.fr/37.59.167.19","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","injs-paris.fr/37.59.167.19","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","injs-paris.fr/37.59.167.19","443","OK","not offered","","CWE-327"
"cipherlist_LOW","injs-paris.fr/37.59.167.19","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","injs-paris.fr/37.59.167.19","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","injs-paris.fr/37.59.167.19","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","injs-paris.fr/37.59.167.19","443","INFO","not offered","",""
"cipherlist_STRONG_FS","injs-paris.fr/37.59.167.19","443","OK","offered","",""
"cipher_order-tls1","injs-paris.fr/37.59.167.19","443","OK","server","",""
"cipher-tls1_xc014","injs-paris.fr/37.59.167.19","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc013","injs-paris.fr/37.59.167.19","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x39","injs-paris.fr/37.59.167.19","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 4096    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x88","injs-paris.fr/37.59.167.19","443","LOW","TLSv1   x88     DHE-RSA-CAMELLIA256-SHA           DH 4096    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_x33","injs-paris.fr/37.59.167.19","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 4096    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x9a","injs-paris.fr/37.59.167.19","443","LOW","TLSv1   x9a     DHE-RSA-SEED-SHA                  DH 4096    SEED        128      TLS_DHE_RSA_WITH_SEED_CBC_SHA","",""
"cipher-tls1_x45","injs-paris.fr/37.59.167.19","443","LOW","TLSv1   x45     DHE-RSA-CAMELLIA128-SHA           DH 4096    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipherorder_TLSv1","injs-paris.fr/37.59.167.19","443","INFO","ECDHE-RSA-AES256-SHA ECDHE-RSA-AES128-SHA DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA256-SHA DHE-RSA-AES128-SHA DHE-RSA-SEED-SHA DHE-RSA-CAMELLIA128-SHA","",""
"cipher_order-tls1_1","injs-paris.fr/37.59.167.19","443","OK","server","",""
"cipher-tls1_1_xc014","injs-paris.fr/37.59.167.19","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_xc013","injs-paris.fr/37.59.167.19","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x39","injs-paris.fr/37.59.167.19","443","LOW","TLSv1.1   x39     DHE-RSA-AES256-SHA                DH 4096    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x88","injs-paris.fr/37.59.167.19","443","LOW","TLSv1.1   x88     DHE-RSA-CAMELLIA256-SHA           DH 4096    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_1_x33","injs-paris.fr/37.59.167.19","443","LOW","TLSv1.1   x33     DHE-RSA-AES128-SHA                DH 4096    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
