"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","interieur.gouv.fr/5.22.145.247","443","INFO","HTTP","",""
"pre_128cipher","interieur.gouv.fr/5.22.145.247","443","INFO","No 128 cipher limit bug","",""
"SSLv2","interieur.gouv.fr/5.22.145.247","443","OK","not offered","",""
"SSLv3","interieur.gouv.fr/5.22.145.247","443","OK","not offered","",""
"TLS1","interieur.gouv.fr/5.22.145.247","443","INFO","not offered","",""
"TLS1_1","interieur.gouv.fr/5.22.145.247","443","INFO","not offered","",""
"TLS1_2","interieur.gouv.fr/5.22.145.247","443","OK","offered","",""
"TLS1_3","interieur.gouv.fr/5.22.145.247","443","OK","offered with final","",""
"NPN","interieur.gouv.fr/5.22.145.247","443","INFO","not offered","",""
"ALPN_HTTP2","interieur.gouv.fr/5.22.145.247","443","OK","h2","",""
"ALPN","interieur.gouv.fr/5.22.145.247","443","INFO","http/1.1","",""
"cipherlist_NULL","interieur.gouv.fr/5.22.145.247","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","interieur.gouv.fr/5.22.145.247","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","interieur.gouv.fr/5.22.145.247","443","OK","not offered","","CWE-327"
"cipherlist_LOW","interieur.gouv.fr/5.22.145.247","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","interieur.gouv.fr/5.22.145.247","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","interieur.gouv.fr/5.22.145.247","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","interieur.gouv.fr/5.22.145.247","443","INFO","not offered","",""
"cipherlist_STRONG_FS","interieur.gouv.fr/5.22.145.247","443","OK","offered","",""
"cipher_order-tls1_2","interieur.gouv.fr/5.22.145.247","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02c","interieur.gouv.fr/5.22.145.247","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","interieur.gouv.fr/5.22.145.247","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","interieur.gouv.fr/5.22.145.247","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc024","interieur.gouv.fr/5.22.145.247","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc023","interieur.gouv.fr/5.22.145.247","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc00a","interieur.gouv.fr/5.22.145.247","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc009","interieur.gouv.fr/5.22.145.247","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_2","interieur.gouv.fr/5.22.145.247","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA","",""
"prioritize_chacha_TLSv1_2","interieur.gouv.fr/5.22.145.247","443","INFO","true","",""
"cipher_order-tls1_3","interieur.gouv.fr/5.22.145.247","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_3_x1302","interieur.gouv.fr/5.22.145.247","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","interieur.gouv.fr/5.22.145.247","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","interieur.gouv.fr/5.22.145.247","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","interieur.gouv.fr/5.22.145.247","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","interieur.gouv.fr/5.22.145.247","443","INFO","true","",""
"cipher_order","interieur.gouv.fr/5.22.145.247","443","OK","server","",""
"FS","interieur.gouv.fr/5.22.145.247","443","OK","offered","",""
"FS_ciphers","interieur.gouv.fr/5.22.145.247","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"FS_ECDHE_curves","interieur.gouv.fr/5.22.145.247","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","interieur.gouv.fr/5.22.145.247","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","interieur.gouv.fr/5.22.145.247","443","INFO","ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","interieur.gouv.fr/5.22.145.247","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","interieur.gouv.fr/5.22.145.247","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","interieur.gouv.fr/5.22.145.247","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","interieur.gouv.fr/5.22.145.247","443","INFO","yes","",""
"sessionresumption_ticket","interieur.gouv.fr/5.22.145.247","443","INFO","supported","",""
"sessionresumption_ID","interieur.gouv.fr/5.22.145.247","443","INFO","not supported","",""
"TLS_timestamp","interieur.gouv.fr/5.22.145.247","443","INFO","random","",""
"certificate_compression","interieur.gouv.fr/5.22.145.247","443","INFO","none","",""
"clientAuth","interieur.gouv.fr/5.22.145.247","443","INFO","none","",""
"cert_numbers","interieur.gouv.fr/5.22.145.247","443","INFO","1","",""
"cert_signatureAlgorithm","interieur.gouv.fr/5.22.145.247","443","OK","ECDSA with SHA384","",""
"cert_keySize","interieur.gouv.fr/5.22.145.247","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","interieur.gouv.fr/5.22.145.247","443","INFO","Digital Signature","",""
"cert_extKeyUsage","interieur.gouv.fr/5.22.145.247","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","interieur.gouv.fr/5.22.145.247","443","INFO","06662F20C8ACF1F4839B46B6FCE44B17414A","",""
"cert_serialNumberLen","interieur.gouv.fr/5.22.145.247","443","INFO","18","",""
"cert_fingerprintSHA1","interieur.gouv.fr/5.22.145.247","443","INFO","D526A3ACD6B922D3C9CBB3884832FC839F6C44B3","",""
"cert_fingerprintSHA256","interieur.gouv.fr/5.22.145.247","443","INFO","04D565F6F1D4E70B1B23162A4F4C3FB4A524BCF7CC0003F07576D87D4662A1A2","",""
