"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","isae-supmeca.fr/51.15.151.116","443","INFO","HTTP","",""
"pre_128cipher","isae-supmeca.fr/51.15.151.116","443","INFO","No 128 cipher limit bug","",""
"SSLv2","isae-supmeca.fr/51.15.151.116","443","OK","not offered","",""
"SSLv3","isae-supmeca.fr/51.15.151.116","443","OK","not offered","",""
"TLS1","isae-supmeca.fr/51.15.151.116","443","INFO","not offered","",""
"TLS1_1","isae-supmeca.fr/51.15.151.116","443","INFO","not offered","",""
"TLS1_2","isae-supmeca.fr/51.15.151.116","443","OK","offered","",""
"TLS1_3","isae-supmeca.fr/51.15.151.116","443","OK","offered with final","",""
"NPN","isae-supmeca.fr/51.15.151.116","443","INFO","not offered","",""
"ALPN","isae-supmeca.fr/51.15.151.116","443","INFO","http/1.1","",""
"cipherlist_NULL","isae-supmeca.fr/51.15.151.116","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","isae-supmeca.fr/51.15.151.116","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","isae-supmeca.fr/51.15.151.116","443","OK","not offered","","CWE-327"
"cipherlist_LOW","isae-supmeca.fr/51.15.151.116","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","isae-supmeca.fr/51.15.151.116","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","isae-supmeca.fr/51.15.151.116","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","isae-supmeca.fr/51.15.151.116","443","INFO","not offered","",""
"cipherlist_STRONG_FS","isae-supmeca.fr/51.15.151.116","443","OK","offered","",""
"cipher_order-tls1_2","isae-supmeca.fr/51.15.151.116","443","LOW","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc024","isae-supmeca.fr/51.15.151.116","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc00a","isae-supmeca.fr/51.15.151.116","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xcca9","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 521   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc0ad","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.2   xc0ad   ECDHE-ECDSA-AES256-CCM            ECDH 521   AESCCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc073","isae-supmeca.fr/51.15.151.116","443","LOW","TLSv1.2   xc073   ECDHE-ECDSA-CAMELLIA256-SHA384    ECDH 521   Camellia    256      TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_xc05d","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.2   xc05d   ECDHE-ECDSA-ARIA256-GCM-SHA384    ECDH 521   ARIAGCM     256      TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc023","isae-supmeca.fr/51.15.151.116","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc009","isae-supmeca.fr/51.15.151.116","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc0ac","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.2   xc0ac   ECDHE-ECDSA-AES128-CCM            ECDH 521   AESCCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc072","isae-supmeca.fr/51.15.151.116","443","LOW","TLSv1.2   xc072   ECDHE-ECDSA-CAMELLIA128-SHA256    ECDH 521   Camellia    128      TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_xc05c","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.2   xc05c   ECDHE-ECDSA-ARIA128-GCM-SHA256    ECDH 521   ARIAGCM     128      TLS_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","isae-supmeca.fr/51.15.151.116","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES256-CCM ECDHE-ECDSA-CAMELLIA256-SHA384 ECDHE-ECDSA-ARIA256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES128-CCM ECDHE-ECDSA-CAMELLIA128-SHA256 ECDHE-ECDSA-ARIA128-GCM-SHA256","",""
"cipher_order-tls1_3","isae-supmeca.fr/51.15.151.116","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","isae-supmeca.fr/51.15.151.116","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","isae-supmeca.fr/51.15.151.116","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","isae-supmeca.fr/51.15.151.116","443","LOW","NOT a server cipher order configured","",""
"FS","isae-supmeca.fr/51.15.151.116","443","OK","offered","",""
"FS_ciphers","isae-supmeca.fr/51.15.151.116","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES256-CCM ECDHE-ECDSA-CAMELLIA256-SHA384 ECDHE-ECDSA-ARIA256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES128-CCM ECDHE-ECDSA-CAMELLIA128-SHA256 ECDHE-ECDSA-ARIA128-GCM-SHA256","",""
"FS_ECDHE_curves","isae-supmeca.fr/51.15.151.116","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","isae-supmeca.fr/51.15.151.116","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","isae-supmeca.fr/51.15.151.116","443","INFO","ECDSA-BRAINPOOL+SHA512 ECDSA-BRAINPOOL+SHA384 ECDSA-BRAINPOOL+SHA256 ECDSA+SHA512 ECDSA+SHA384 ECDSA+SHA256 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","isae-supmeca.fr/51.15.151.116","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","isae-supmeca.fr/51.15.151.116","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","isae-supmeca.fr/51.15.151.116","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","isae-supmeca.fr/51.15.151.116","443","INFO","yes","",""
"sessionresumption_ticket","isae-supmeca.fr/51.15.151.116","443","INFO","not supported","",""
"sessionresumption_ID","isae-supmeca.fr/51.15.151.116","443","INFO","supported","",""
"TLS_timestamp","isae-supmeca.fr/51.15.151.116","443","INFO","random","",""
"certificate_compression","isae-supmeca.fr/51.15.151.116","443","INFO","none","",""
"clientAuth","isae-supmeca.fr/51.15.151.116","443","INFO","none","",""
"cert_numbers","isae-supmeca.fr/51.15.151.116","443","INFO","1","",""
"cert_signatureAlgorithm","isae-supmeca.fr/51.15.151.116","443","OK","ECDSA with SHA384","",""
"cert_keySize","isae-supmeca.fr/51.15.151.116","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","isae-supmeca.fr/51.15.151.116","443","INFO","Digital Signature","",""
"cert_extKeyUsage","isae-supmeca.fr/51.15.151.116","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","isae-supmeca.fr/51.15.151.116","443","INFO","0651B786E8DADCD2EABCDCD20EDAF24393BE","",""
"cert_serialNumberLen","isae-supmeca.fr/51.15.151.116","443","INFO","18","",""
"cert_fingerprintSHA1","isae-supmeca.fr/51.15.151.116","443","INFO","2F6583E0BD76C6998F2AD5155B457BD1EFC7DB34","",""
"cert_fingerprintSHA256","isae-supmeca.fr/51.15.151.116","443","INFO","FA10AC2929D75DA508A32031790A5D3F77C757A90E2FEB1D4ADBD6C4D31CD5BF","",""
"cert","isae-supmeca.fr/51.15.151.116","443","INFO","-----BEGIN CERTIFICATE-----\nMIID4jCCA2mgAwIBAgISBlG3huja3NLqvNzSDtryQ5O+MAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODAeFw0yNTA5MzAxMTMzMzNaFw0yNTEyMjkxMTMzMzJaMB4xHDAaBgNVBAMTE3d3dy5pc2FlLXN1cG1lY2EuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAAQVSOpmB9TihBf+Qt4Qn2Di7VhHeOBnbVz3ZWnAgUf8CcesZCzP95q80ui4Tpf+LhH8y2jhsf7tuksjR32OgqrDo4ICcTCCAm0wDgYDVR0PAQH/BAQDAgeAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBSeAGpDB1VbGKpPvuI0k2hfsOrqUzAfBgNVHSMEGDAWgBSPDROi9i5+0VBsMxg4XVmOI3KRyjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly9lOC5pLmxlbmNyLm9yZy8wbgYDVR0RBGcwZYISZW4uaXNhZS1zdXBtZWNhLmZygg1lbi5zdXBtZWNhLmZygg9pc2FlLXN1cG1lY2EuZnKCCnN1cG1lY2EuZnKCE3d3dy5pc2FlLXN1cG1lY2EuZnKCDnd3dy5zdXBtZWNhLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC0GA1UdHwQmMCQwIqAgoB6GHGh0dHA6Ly9lOC5jLmxlbmNyLm9yZy82My5jcmwwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgCkQsUGSWBhVI8P1Oqc+3otJkVNh6l/L99FWfYnTzqEVAAAAZmam8MLAAAEAwBHMEUCIQCHV8Dk+VeK6VO2nw9jmRJws+t3AEUvaBEb9/EzfNJh6AIgbY5Wr1/4lRH5kerNpwUdmRfARDg5zz8A7pKHEA1P6VEAdgAS8U40vVNyTIQGGcOPP3oT+Oe1YoeInG0wBYTr5YYmOgAAAZmam8MSAAAEAwBHMEUCIHqpDg2VV6wuFbVNmhcBDVJKQkrflKKHHdko81/JawRjAiEAo+X+HjN5d/cMB4lnBt1Hnqqk4cW20XfhNUvqfyUKBPIwCgYIKoZIzj0EAwMDZwAwZAIwHkIokJ8g0aJlbwZIQlNzVqfiTx/RrrQCBPtDps0hD0Utqa1O9o2kvDruufhwzpM6AjAHk/Bgcv7v8v896YBOF8XrC7kPAJuUbST6x5zjszLtP9/ZDQgyJ6vxYgf2cUvxZC4=\n-----END CERTIFICATE-----","",""
"cert_commonName","isae-supmeca.fr/51.15.151.116","443","OK","www.isae-supmeca.fr","",""
"cert_commonName_wo_SNI","isae-supmeca.fr/51.15.151.116","443","INFO","localhost","",""
"cert_subjectAltName","isae-supmeca.fr/51.15.151.116","443","INFO","en.isae-supmeca.fr en.supmeca.fr isae-supmeca.fr supmeca.fr www.isae-supmeca.fr www.supmeca.fr","",""
"cert_trust","isae-supmeca.fr/51.15.151.116","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","isae-supmeca.fr/51.15.151.116","443","OK","passed.","",""
"cert_certificatePolicies_EV","isae-supmeca.fr/51.15.151.116","443","INFO","no","",""
"cert_expirationStatus","isae-supmeca.fr/51.15.151.116","443","OK","55 >= 30 days","",""
"cert_notBefore","isae-supmeca.fr/51.15.151.116","443","INFO","2025-09-30 11:33","",""
"cert_notAfter","isae-supmeca.fr/51.15.151.116","443","OK","2025-12-29 11:33","",""
"cert_extlifeSpan","isae-supmeca.fr/51.15.151.116","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","isae-supmeca.fr/51.15.151.116","443","INFO","not present","",""
"cert_crlDistributionPoints","isae-supmeca.fr/51.15.151.116","443","INFO","http://e8.c.lencr.org/63.crl","",""
"cert_ocspURL","isae-supmeca.fr/51.15.151.116","443","INFO","--","",""
"OCSP_stapling","isae-supmeca.fr/51.15.151.116","443","INFO","not offered","",""
"cert_mustStapleExtension","isae-supmeca.fr/51.15.151.116","443","INFO","--","",""
"DNS_CAArecord","isae-supmeca.fr/51.15.151.116","443","LOW","--","",""
"certificate_transparency","isae-supmeca.fr/51.15.151.116","443","OK","yes (certificate extension)","",""
"certs_countServer","isae-supmeca.fr/51.15.151.116","443","INFO","2","",""
"certs_list_ordering_problem","isae-supmeca.fr/51.15.151.116","443","INFO","no","",""
"cert_caIssuers","isae-supmeca.fr/51.15.151.116","443","INFO","E8 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","isae-supmeca.fr/51.15.151.116","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVjCCAj6gAwIBAgIQY5WTY8JOcIJxWRi/w9ftVjANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODB2MBAGByqGSM49AgEGBSuBBAAiA2IABNFl8l7cS7QMApzSsvru6WyrOq44ofTUOTIzxULUzDMMNMchIJBwXOhiLxxxs0LXeb5GDcHbR6EToMffgSZjO9SNHfY9gjMy9vQr5/WWOrQTZxh7az6NSNnq3u2ubT6HTKOB+DCB9TAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFI8NE6L2Ln7RUGwzGDhdWY4jcpHKMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMA0GCSqGSIb3DQEBCwUAA4ICAQBnE0hGINKsCYWi0Xx1ygxD5qihEjZ0RI3tTZz1wuATH3ZwYPIp97kWEayanD1j0cDhIYzy4CkDo2jB8D5t0a6zZWzlr98dAQFNh8uKJkIHdLShy+nUyeZxc5bNeMp1Lu0gSzE4McqfmNMvIpeiwWSYO9w82Ob8otvXcO2JUYi3svHIWRm3+707DUbL51XMcY2iZdlCq4Wa9nbuk3WTU4gr6LY8MzVAaDQG2+4U3eJ6qUF10bBnR1uuVyDYs9RhrwucRVnfuDj29CMLTsplM5f5wSV5hUpmUwp/vV7M4w4aGunt74koX71n4EdagCsL/Yk5+mAQU0+tue0JOfAV/R6t1k+Xk9s2HMQFeoxppfzAVC04FdG9M+AC2JWxmFSt6BCuh3CEey3fE52Qrj9YM75rtvIjsm/1Hl+u//Wqxnu1ZQ4jpa+VpuZiGOlWrqSP9eogdOhCGisnyewWJwRQOqK16wiGyZeRxs/Bekw65vwSIaVkBruPiTfMOo0Zh4gVa8/qJgMbJbyrwwG97z/PRgmLKCDl8z3dtA0Z7qq7fta0Gl24uyuB05dqI5J1LvAzKuWdIjT1tP8qCoxSE/xpix8hX2dt3h+/jujUgFPFZ0EVZ0xSyBNRF3MboGZnYXFUxpNjTWPKpagDHJQmqrAcDmWJnMsFY3jSu1igv3OefnWjSQ==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","isae-supmeca.fr/51.15.151.116","443","INFO","83624FD338C8D9B023C18A67CB7A9C0519DA43D11775B4C6CBDAD45C3D997C52","",""
"intermediate_cert_notBefore <#1>","isae-supmeca.fr/51.15.151.116","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","isae-supmeca.fr/51.15.151.116","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","isae-supmeca.fr/51.15.151.116","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","isae-supmeca.fr/51.15.151.116","443","INFO","E8 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","isae-supmeca.fr/51.15.151.116","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","isae-supmeca.fr/51.15.151.116","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","isae-supmeca.fr/51.15.151.116","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","isae-supmeca.fr/51.15.151.116","443","INFO","1762226474","",""
"HSTS","isae-supmeca.fr/51.15.151.116","443","LOW","not offered","",""
"HPKP","isae-supmeca.fr/51.15.151.116","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","isae-supmeca.fr/51.15.151.116","443","INFO","nginx","",""
"banner_application","isae-supmeca.fr/51.15.151.116","443","INFO","No application banner found","",""
"cookie_count","isae-supmeca.fr/51.15.151.116","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"security_headers","isae-supmeca.fr/51.15.151.116","443","MEDIUM","--","",""
"banner_reverseproxy","isae-supmeca.fr/51.15.151.116","443","INFO","--","","CWE-200"
"heartbleed","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","isae-supmeca.fr/51.15.151.116","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","isae-supmeca.fr/51.15.151.116","443","OK","supported","","CWE-310"
"secure_client_renego","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","isae-supmeca.fr/51.15.151.116","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","isae-supmeca.fr/51.15.151.116","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
