"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ipst.cnam.fr/163.173.128.40","443","INFO","HTTP","",""
"pre_128cipher","ipst.cnam.fr/163.173.128.40","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ipst.cnam.fr/163.173.128.40","443","OK","not offered","",""
"SSLv3","ipst.cnam.fr/163.173.128.40","443","OK","not offered","",""
"TLS1","ipst.cnam.fr/163.173.128.40","443","INFO","not offered","",""
"TLS1_1","ipst.cnam.fr/163.173.128.40","443","INFO","not offered","",""
"TLS1_2","ipst.cnam.fr/163.173.128.40","443","OK","offered","",""
"TLS1_3","ipst.cnam.fr/163.173.128.40","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","ipst.cnam.fr/163.173.128.40","443","INFO","not offered","",""
"ALPN","ipst.cnam.fr/163.173.128.40","443","INFO","not offered","",""
"cipherlist_NULL","ipst.cnam.fr/163.173.128.40","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ipst.cnam.fr/163.173.128.40","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ipst.cnam.fr/163.173.128.40","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ipst.cnam.fr/163.173.128.40","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ipst.cnam.fr/163.173.128.40","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ipst.cnam.fr/163.173.128.40","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","ipst.cnam.fr/163.173.128.40","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ipst.cnam.fr/163.173.128.40","443","OK","offered","",""
"cipher_order-tls1_2","ipst.cnam.fr/163.173.128.40","443","OK","server","",""
"cipher-tls1_2_xc02c","ipst.cnam.fr/163.173.128.40","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc024","ipst.cnam.fr/163.173.128.40","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc00a","ipst.cnam.fr/163.173.128.40","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","ipst.cnam.fr/163.173.128.40","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc023","ipst.cnam.fr/163.173.128.40","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc009","ipst.cnam.fr/163.173.128.40","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_2","ipst.cnam.fr/163.173.128.40","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","ipst.cnam.fr/163.173.128.40","443","OK","server","",""
"FS","ipst.cnam.fr/163.173.128.40","443","OK","offered","",""
"FS_ciphers","ipst.cnam.fr/163.173.128.40","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"FS_ECDHE_curves","ipst.cnam.fr/163.173.128.40","443","OK","prime256v1","",""
"FS_TLS12_sig_algs","ipst.cnam.fr/163.173.128.40","443","LOW","ECDSA+SHA512 ECDSA+SHA384 ECDSA+SHA256 ECDSA+SHA224 ECDSA+SHA1","",""
"TLS_extensions","ipst.cnam.fr/163.173.128.40","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","ipst.cnam.fr/163.173.128.40","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","ipst.cnam.fr/163.173.128.40","443","INFO","yes","",""
"sessionresumption_ticket","ipst.cnam.fr/163.173.128.40","443","INFO","supported","",""
"sessionresumption_ID","ipst.cnam.fr/163.173.128.40","443","INFO","supported","",""
"TLS_timestamp","ipst.cnam.fr/163.173.128.40","443","INFO","random","",""
"cert_compression","ipst.cnam.fr/163.173.128.40","443","INFO","N/A","",""
"clientAuth","ipst.cnam.fr/163.173.128.40","443","INFO","none","",""
"cert_numbers","ipst.cnam.fr/163.173.128.40","443","INFO","1","",""
"cert_signatureAlgorithm","ipst.cnam.fr/163.173.128.40","443","OK","ECDSA with SHA256","",""
"cert_keySize","ipst.cnam.fr/163.173.128.40","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","ipst.cnam.fr/163.173.128.40","443","INFO","Digital Signature","",""
"cert_extKeyUsage","ipst.cnam.fr/163.173.128.40","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","ipst.cnam.fr/163.173.128.40","443","INFO","3994EF0722CDC12604D29C2476355F3D","",""
"cert_serialNumberLen","ipst.cnam.fr/163.173.128.40","443","INFO","16","",""
"cert_fingerprintSHA1","ipst.cnam.fr/163.173.128.40","443","INFO","EC03B17FF71540A793C166D2487B6148C2EF7591","",""
"cert_fingerprintSHA256","ipst.cnam.fr/163.173.128.40","443","INFO","798268FA64D2084683DB8B693A3CB07725EAA3F7DDAB11E218EFFA93FFF149F9","",""
