"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ird.fr/91.203.32.205","443","INFO","HTTP","",""
"pre_128cipher","ird.fr/91.203.32.205","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ird.fr/91.203.32.205","443","OK","not offered","",""
"SSLv3","ird.fr/91.203.32.205","443","OK","not offered","",""
"TLS1","ird.fr/91.203.32.205","443","INFO","not offered","",""
"TLS1_1","ird.fr/91.203.32.205","443","INFO","not offered","",""
"TLS1_2","ird.fr/91.203.32.205","443","OK","offered","",""
"TLS1_3","ird.fr/91.203.32.205","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","ird.fr/91.203.32.205","443","INFO","not offered","",""
"ALPN","ird.fr/91.203.32.205","443","INFO","not offered","",""
"cipherlist_NULL","ird.fr/91.203.32.205","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ird.fr/91.203.32.205","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ird.fr/91.203.32.205","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ird.fr/91.203.32.205","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ird.fr/91.203.32.205","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ird.fr/91.203.32.205","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","ird.fr/91.203.32.205","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ird.fr/91.203.32.205","443","OK","offered","",""
"cipher_order-tls1_2","ird.fr/91.203.32.205","443","OK","server","",""
"cipher-tls1_2_xc030","ird.fr/91.203.32.205","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","ird.fr/91.203.32.205","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","ird.fr/91.203.32.205","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","ird.fr/91.203.32.205","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","ird.fr/91.203.32.205","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256","",""
"cipher_order","ird.fr/91.203.32.205","443","OK","server","",""
"FS","ird.fr/91.203.32.205","443","OK","offered","",""
"FS_ciphers","ird.fr/91.203.32.205","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","ird.fr/91.203.32.205","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"FS_TLS12_sig_algs","ird.fr/91.203.32.205","443","LOW","RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","ird.fr/91.203.32.205","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","ird.fr/91.203.32.205","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","ird.fr/91.203.32.205","443","INFO","yes","",""
"sessionresumption_ticket","ird.fr/91.203.32.205","443","INFO","not supported","",""
"sessionresumption_ID","ird.fr/91.203.32.205","443","INFO","not supported","",""
"TLS_timestamp","ird.fr/91.203.32.205","443","INFO","random","",""
"cert_compression","ird.fr/91.203.32.205","443","INFO","N/A","",""
"clientAuth","ird.fr/91.203.32.205","443","INFO","none","",""
"cert_numbers","ird.fr/91.203.32.205","443","INFO","1","",""
"cert_signatureAlgorithm","ird.fr/91.203.32.205","443","OK","SHA256 with RSA","",""
"cert_keySize","ird.fr/91.203.32.205","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","ird.fr/91.203.32.205","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ird.fr/91.203.32.205","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","ird.fr/91.203.32.205","443","INFO","7F2670B99F9C29BD30AC90089D14C8A0","",""
"cert_serialNumberLen","ird.fr/91.203.32.205","443","INFO","16","",""
"cert_fingerprintSHA1","ird.fr/91.203.32.205","443","INFO","B046AD8E98B9DBA9822530EA12D9182DA661A608","",""
"cert_fingerprintSHA256","ird.fr/91.203.32.205","443","INFO","F01060DE2BA136D4F5FE6687F9E14B8B1FFF492D0AB427D73CF13E7B8ADA3251","",""
