"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","jalerte.arcep.fr/5.196.1.4","443","INFO","HTTP","",""
"pre_128cipher","jalerte.arcep.fr/5.196.1.4","443","INFO","No 128 cipher limit bug","",""
"SSLv2","jalerte.arcep.fr/5.196.1.4","443","OK","not offered","",""
"SSLv3","jalerte.arcep.fr/5.196.1.4","443","OK","not offered","",""
"TLS1","jalerte.arcep.fr/5.196.1.4","443","INFO","not offered","",""
"TLS1_1","jalerte.arcep.fr/5.196.1.4","443","INFO","not offered","",""
"TLS1_2","jalerte.arcep.fr/5.196.1.4","443","OK","offered","",""
"TLS1_3","jalerte.arcep.fr/5.196.1.4","443","OK","offered with final","",""
"NPN","jalerte.arcep.fr/5.196.1.4","443","INFO","not offered","",""
"ALPN","jalerte.arcep.fr/5.196.1.4","443","INFO","http/1.1","",""
"cipherlist_NULL","jalerte.arcep.fr/5.196.1.4","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","jalerte.arcep.fr/5.196.1.4","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","jalerte.arcep.fr/5.196.1.4","443","OK","not offered","","CWE-327"
"cipherlist_LOW","jalerte.arcep.fr/5.196.1.4","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","jalerte.arcep.fr/5.196.1.4","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","jalerte.arcep.fr/5.196.1.4","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","jalerte.arcep.fr/5.196.1.4","443","INFO","not offered","",""
"cipherlist_STRONG_FS","jalerte.arcep.fr/5.196.1.4","443","OK","offered","",""
"cipher_order-tls1_2","jalerte.arcep.fr/5.196.1.4","443","OK","server","",""
"cipher-tls1_2_xc02f","jalerte.arcep.fr/5.196.1.4","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","jalerte.arcep.fr/5.196.1.4","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","jalerte.arcep.fr/5.196.1.4","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
