"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","HTTP","",""
"pre_128cipher","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","not offered","",""
"SSLv3","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","not offered","",""
"TLS1","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","not offered","",""
"TLS1_1","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","not offered","",""
"TLS1_2","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","offered","",""
"TLS1_3","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","h2","",""
"ALPN","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","http/1.1","",""
"cipherlist_NULL","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","not offered","",""
"cipherlist_STRONG_FS","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","offered","",""
"cipher_order-tls1_2","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","server","",""
"cipher-tls1_2_xc02f","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","false","",""
"cipher_order","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","server","",""
"FS","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","offered","",""
"FS_ciphers","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"FS_TLS12_sig_algs","lab.chorus-pro.gouv.fr/54.38.100.208","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","'server name/#0' 'max fragment length/#1' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","yes","",""
"sessionresumption_ticket","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","not supported","",""
"sessionresumption_ID","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","not supported","",""
"TLS_timestamp","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","random","",""
"cert_compression","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","N/A","",""
"clientAuth","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","none","",""
"cert_numbers","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","1","",""
"cert_signatureAlgorithm","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","SHA256 with RSA","",""
"cert_keySize","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","7C9214E991C6F18A981C6257","",""
"cert_serialNumberLen","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","12","",""
"cert_fingerprintSHA1","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","6B8314015BE1E92F4660684B94731F27146B7CCD","",""
"cert_fingerprintSHA256","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","7030679849143854641151C008F726597AC019A347306A748343297471B886B4","",""
"cert","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGWTCCBUGgAwIBAgIMfJIU6ZHG8YqYHGJXMA0GCSqGSIb3DQEBCwUAMFAxCzAJBgNVBAYTAkJFMRkwFwYDVQQKExBHbG9iYWxTaWduIG52LXNhMSYwJAYDVQQDEx1HbG9iYWxTaWduIFJTQSBPViBTU0wgQ0EgMjAxODAeFw0yNTEwMTQwOTQzNDFaFw0yNjExMTUwOTQzNDBaMHIxCzAJBgNVBAYTAkZSMRowGAYDVQQIExFTZWluZS1TYWludC1EZW5pczEXMBUGA1UEBxMOTm9pc3ktbGUtR3JhbmQxDTALBgNVBAoTBEFJRkUxHzAdBgNVBAMTFmxhYi5jaG9ydXMtcHJvLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCiwnrHsbrSLEL98WeD0yA4sGzfqwP+/OULSG0zT++SYIN8LpWGt+/o3nKH5g4rjM0iIa6q63P/WkGvJxgfy6vqWZcHp4clK6PigkeqkcWYp1v1ewCwk9ZRPFhFeFFvGV1YgPe3q3OSgybWrhuyUmY/R6+FKGNVVimldxwwUgjVLOR256SB1MIWcMoHZMp2wzvudoxZrF6TgR7VqMO564jbObzK9iBcZzhKSTOM8TPWsJc6P/eUsovsLWPd8g5+l2APt/xHVmlqBHQrFP14RwEsTHklS9wVuGd2zATKu7MnLFBJqeGSz0hTXg9kUl5wjCExXdwDhLKwHp2wefC7zw0/AgMBAAGjggMPMIIDCzAOBgNVHQ8BAf8EBAMCBaAwDAYDVR0TAQH/BAIwADCBjgYIKwYBBQUHAQEEgYEwfzBEBggrBgEFBQcwAoY4aHR0cDovL3NlY3VyZS5nbG9iYWxzaWduLmNvbS9jYWNlcnQvZ3Nyc2FvdnNzbGNhMjAxOC5jcnQwNwYIKwYBBQUHMAGGK2h0dHA6Ly9vY3NwLmdsb2JhbHNpZ24uY29tL2dzcnNhb3Zzc2xjYTIwMTgwVgYDVR0gBE8wTTBBBgkrBgEEAaAyARQwNDAyBggrBgEFBQcCARYmaHR0cHM6Ly93d3cuZ2xvYmFsc2lnbi5jb20vcmVwb3NpdG9yeS8wCAYGZ4EMAQICMCEGA1UdEQQaMBiCFmxhYi5jaG9ydXMtcHJvLmdvdXYuZnIwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMB8GA1UdIwQYMBaAFPjvf/LNeGeo3m+PJI2I8YcDArPrMB0GA1UdDgQWBBQ+W+Akl/8SQ4LEbRDwQp/rdjd2hTCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHYAlE5Dh/rswe+B8xkkJqgYZQHH0184AgE/cmd9VTcuGdgAAAGZ4hq9ogAABAMARzBFAiBHMN9s3RTEHvQO9LaQt64kLLqkCsXrcDWUaet04u43iAIhANoc6yTOA2aGrKC3ZiqHn1z4xoqyjH6pCZTgmM8oxFRVAHcArKswcGzr7IQx9BPS9JFfER5CJEOx8qaMTzwrO6ceAsMAAAGZ4hq9owAABAMASDBGAiEA11ppMMG/z5rFzO9PQhHeRB+SrSffuwxAcbdZmvkIKxwCIQC8QJb3R5ANtXcSJNSneCgqNwOdRzAquEA/qQptreFOswB1AMIxfldFGaNF7n843rKQQevHwiFaIr9/1bWtdprZDlLNAAABmeIavZ8AAAQDAEYwRAIgT0g/rvHppUN/i/olCIkF9cvICFZDyRGFoUS8SytTJwYCIDmeG3cbP6PEgIAOiuGAphGyv3mciINu2EVEL499ClPvMA0GCSqGSIb3DQEBCwUAA4IBAQAsA4pTXNhCdZiWv6Dqjucebn2dpWGi+hHKGxGgyF1C6UMGfUGOaHdegJyTUXNvUc8hi06vMl7R0F6urNoXUN86fITCiI8cqLsfml7B6y5/RAXoONhYQQWXX9nxTx/qturGdp90NB5PHLjum57d1BaMS7VpiCi3rtNCe0KZzbkmZ2MyjO90oSICMV6vVFIAb5cUDWxDWlCA7xOwRqehjQCwdjT+qLp5VHl4+eE8N1ZYkDs6P9cadDy0Xsgyhn+sIv+msRzgX3LSOncCg6YdCPBF/nXpWOLu86GKIeX9QOeZ3ITp7SCte0IEdfGNfIh+KERMOwhupk5Gnl1lxz8fzOgG\n-----END CERTIFICATE-----","",""
"cert_commonName","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","lab.chorus-pro.gouv.fr","",""
"cert_commonName_wo_SNI","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","54.38.100.208","",""
"cert_subjectAltName","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","lab.chorus-pro.gouv.fr","",""
"cert_trust","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","passed.","",""
"cert_certificatePolicies_EV","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","no","",""
"cert_expirationStatus","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","376 >= 60 days","",""
"cert_notBefore","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","2025-10-14 09:43","",""
"cert_notAfter","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","2026-11-15 09:43","",""
"cert_extlifeSpan","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","not present","",""
"cert_crlDistributionPoints","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","--","",""
"cert_ocspURL","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","http://ocsp.globalsign.com/gsrsaovsslca2018","",""
"OCSP_stapling","lab.chorus-pro.gouv.fr/54.38.100.208","443","LOW","not offered","",""
"cert_mustStapleExtension","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","--","",""
"DNS_CAArecord","lab.chorus-pro.gouv.fr/54.38.100.208","443","LOW","--","",""
"certificate_transparency","lab.chorus-pro.gouv.fr/54.38.100.208","443","OK","yes (certificate extension)","",""
"certs_countServer","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","3","",""
"certs_list_ordering_problem","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","no","",""
"cert_caIssuers","lab.chorus-pro.gouv.fr/54.38.100.208","443","INFO","GlobalSign RSA OV SSL CA 2018 (GlobalSign nv-sa from BE)","",""
