"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","leblob.fr/91.216.58.181","443","INFO","HTTP","",""
"pre_128cipher","leblob.fr/91.216.58.181","443","INFO","No 128 cipher limit bug","",""
"SSLv2","leblob.fr/91.216.58.181","443","OK","not offered","",""
"SSLv3","leblob.fr/91.216.58.181","443","OK","not offered","",""
"TLS1","leblob.fr/91.216.58.181","443","INFO","not offered","",""
"TLS1_1","leblob.fr/91.216.58.181","443","INFO","not offered","",""
"TLS1_2","leblob.fr/91.216.58.181","443","OK","offered","",""
"TLS1_3","leblob.fr/91.216.58.181","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","leblob.fr/91.216.58.181","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","leblob.fr/91.216.58.181","443","OK","h2","",""
"ALPN","leblob.fr/91.216.58.181","443","INFO","http/1.1","",""
"cipherlist_NULL","leblob.fr/91.216.58.181","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","leblob.fr/91.216.58.181","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","leblob.fr/91.216.58.181","443","OK","not offered","","CWE-327"
"cipherlist_LOW","leblob.fr/91.216.58.181","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","leblob.fr/91.216.58.181","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","leblob.fr/91.216.58.181","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","leblob.fr/91.216.58.181","443","INFO","not offered","",""
"cipherlist_STRONG_FS","leblob.fr/91.216.58.181","443","OK","offered","",""
"cipher_order-tls1_2","leblob.fr/91.216.58.181","443","OK","server","",""
"cipher-tls1_2_xc02f","leblob.fr/91.216.58.181","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","leblob.fr/91.216.58.181","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc030","leblob.fr/91.216.58.181","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","leblob.fr/91.216.58.181","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x9e","leblob.fr/91.216.58.181","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 4096    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc0a2","leblob.fr/91.216.58.181","443","OK","TLSv1.2   xc0a2   DHE-RSA-AES128-CCM8               DH 4096    AESCCM8     128      TLS_DHE_RSA_WITH_AES_128_CCM_8","",""
