"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","libelaero.fr/51.77.212.7","443","INFO","HTTP","",""
"pre_128cipher","libelaero.fr/51.77.212.7","443","INFO","No 128 cipher limit bug","",""
"SSLv2","libelaero.fr/51.77.212.7","443","OK","not offered","",""
"SSLv3","libelaero.fr/51.77.212.7","443","OK","not offered","",""
"TLS1","libelaero.fr/51.77.212.7","443","INFO","not offered","",""
"TLS1_1","libelaero.fr/51.77.212.7","443","INFO","not offered","",""
"TLS1_2","libelaero.fr/51.77.212.7","443","OK","offered","",""
"TLS1_3","libelaero.fr/51.77.212.7","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","libelaero.fr/51.77.212.7","443","INFO","offered with http/1.1 (advertised)","",""
"ALPN","libelaero.fr/51.77.212.7","443","INFO","http/1.1","",""
"cipherlist_NULL","libelaero.fr/51.77.212.7","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","libelaero.fr/51.77.212.7","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","libelaero.fr/51.77.212.7","443","OK","not offered","","CWE-327"
"cipherlist_LOW","libelaero.fr/51.77.212.7","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","libelaero.fr/51.77.212.7","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","libelaero.fr/51.77.212.7","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","libelaero.fr/51.77.212.7","443","INFO","not offered","",""
"cipherlist_STRONG_FS","libelaero.fr/51.77.212.7","443","OK","offered","",""
"cipher_order-tls1_2","libelaero.fr/51.77.212.7","443","LOW","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","libelaero.fr/51.77.212.7","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc024","libelaero.fr/51.77.212.7","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc00a","libelaero.fr/51.77.212.7","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xcca9","libelaero.fr/51.77.212.7","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 521   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc0af","libelaero.fr/51.77.212.7","443","OK","TLSv1.2   xc0af   ECDHE-ECDSA-AES256-CCM8           ECDH 521   AESCCM8     256      TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc0ad","libelaero.fr/51.77.212.7","443","OK","TLSv1.2   xc0ad   ECDHE-ECDSA-AES256-CCM            ECDH 521   AESCCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc073","libelaero.fr/51.77.212.7","443","LOW","TLSv1.2   xc073   ECDHE-ECDSA-CAMELLIA256-SHA384    ECDH 521   Camellia    256      TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_xc05d","libelaero.fr/51.77.212.7","443","OK","TLSv1.2   xc05d   ECDHE-ECDSA-ARIA256-GCM-SHA384    ECDH 521   ARIAGCM     256      TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","libelaero.fr/51.77.212.7","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
