"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","HTTP","",""
"pre_128cipher","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","",""
"SSLv3","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","",""
"TLS1","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not offered","",""
"TLS1_1","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not offered","",""
"TLS1_2","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered","",""
"TLS1_3","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered with final","",""
"NPN","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not offered","",""
"ALPN","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not offered","",""
"cipherlist_NULL","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mieuxrespirerenville.gouv.fr/37.235.92.28","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered","",""
"cipherlist_STRONG_FS","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered","",""
"cipher_order-tls1_2","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","server","",""
"cipher-tls1_2_xc030","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","mieuxrespirerenville.gouv.fr/37.235.92.28","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","mieuxrespirerenville.gouv.fr/37.235.92.28","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9d","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc0a1","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","TLSv1.2   xc0a1   AES256-CCM8                       RSA        AESCCM8     256      TLS_RSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc09d","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","TLSv1.2   xc09d   AES256-CCM                        RSA        AESCCM      256      TLS_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_x3d","mieuxrespirerenville.gouv.fr/37.235.92.28","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x35","mieuxrespirerenville.gouv.fr/37.235.92.28","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_2","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA AES256-GCM-SHA384 AES256-CCM8 AES256-CCM AES256-SHA256 AES256-SHA","",""
"cipher_order-tls1_3","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","server","",""
"cipher-tls1_3_x1302","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","false","",""
"cipher_order","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","server","",""
"FS","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered","",""
"FS_ciphers","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA TLS_AES_128_GCM_SHA256","",""
"FS_ECDHE_curves","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"FS_TLS12_sig_algs","mieuxrespirerenville.gouv.fr/37.235.92.28","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"FS_TLS13_sig_algs","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","yes","",""
"sessionresumption_ticket","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","supported","",""
"sessionresumption_ID","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","supported","",""
"TLS_timestamp","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","random","",""
"certificate_compression","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","none","",""
"clientAuth","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","none","",""
"cert_numbers","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","1","",""
"cert_signatureAlgorithm","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","SHA256 with RSA","",""
"cert_keySize","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","0601576E3FEBB88B54352224D84EE2360BC1","",""
"cert_serialNumberLen","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","18","",""
"cert_fingerprintSHA1","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","0EF86AFCEDF092ECBF0C539F8D2C13D3C674A374","",""
"cert_fingerprintSHA256","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","BB32CD2787F60A541383AC3759D0C2B8D945849E3496E8D67135EDA45B4B837D","",""
