"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","miqcp.gouv.fr/79.99.164.4","443","INFO","HTTP","",""
"pre_128cipher","miqcp.gouv.fr/79.99.164.4","443","INFO","No 128 cipher limit bug","",""
"SSLv2","miqcp.gouv.fr/79.99.164.4","443","OK","not offered","",""
"SSLv3","miqcp.gouv.fr/79.99.164.4","443","OK","not offered","",""
"TLS1","miqcp.gouv.fr/79.99.164.4","443","INFO","not offered","",""
"TLS1_1","miqcp.gouv.fr/79.99.164.4","443","INFO","not offered","",""
"TLS1_2","miqcp.gouv.fr/79.99.164.4","443","OK","offered","",""
"TLS1_3","miqcp.gouv.fr/79.99.164.4","443","OK","offered with final","",""
"NPN","miqcp.gouv.fr/79.99.164.4","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","miqcp.gouv.fr/79.99.164.4","443","OK","h2","",""
"ALPN","miqcp.gouv.fr/79.99.164.4","443","INFO","http/1.1","",""
"cipherlist_NULL","miqcp.gouv.fr/79.99.164.4","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","miqcp.gouv.fr/79.99.164.4","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","miqcp.gouv.fr/79.99.164.4","443","OK","not offered","","CWE-327"
"cipherlist_LOW","miqcp.gouv.fr/79.99.164.4","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","miqcp.gouv.fr/79.99.164.4","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","miqcp.gouv.fr/79.99.164.4","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","miqcp.gouv.fr/79.99.164.4","443","OK","offered","",""
"cipherlist_STRONG_FS","miqcp.gouv.fr/79.99.164.4","443","OK","offered","",""
"cipher_order-tls1_2","miqcp.gouv.fr/79.99.164.4","443","LOW","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","miqcp.gouv.fr/79.99.164.4","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","miqcp.gouv.fr/79.99.164.4","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","miqcp.gouv.fr/79.99.164.4","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9f","miqcp.gouv.fr/79.99.164.4","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 4096    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","miqcp.gouv.fr/79.99.164.4","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xccaa","miqcp.gouv.fr/79.99.164.4","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 4096    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
