"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","HTTP","",""
"pre_128cipher","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","not offered","",""
"SSLv3","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","not offered","",""
"TLS1","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","not offered","",""
"TLS1_1","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","not offered","",""
"TLS1_2","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","offered","",""
"TLS1_3","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","offered with final","",""
"NPN","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","not offered","",""
"ALPN_HTTP2","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","h2","",""
"ALPN","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","http/1.1","",""
"cipherlist_NULL","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","offered","",""
"cipher_order-tls1_2","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","server","",""
"cipher-tls1_2_xc030","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","mon-vie-via.businessfrance.fr/13.107.213.41","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","server","",""
"cipher-tls1_3_x1302","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1301","mon-vie-via.businessfrance.fr/13.107.213.41","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
