"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","montsaintmichel.gouv.fr/46.31.193.233","443","INFO","HTTP","",""
"pre_128cipher","montsaintmichel.gouv.fr/46.31.193.233","443","INFO","No 128 cipher limit bug","",""
"SSLv2","montsaintmichel.gouv.fr/46.31.193.233","443","OK","not offered","",""
"SSLv3","montsaintmichel.gouv.fr/46.31.193.233","443","OK","not offered","",""
"TLS1","montsaintmichel.gouv.fr/46.31.193.233","443","INFO","not offered","",""
"TLS1_1","montsaintmichel.gouv.fr/46.31.193.233","443","INFO","not offered","",""
"TLS1_2","montsaintmichel.gouv.fr/46.31.193.233","443","OK","offered","",""
"TLS1_3","montsaintmichel.gouv.fr/46.31.193.233","443","OK","offered with final","",""
"NPN","montsaintmichel.gouv.fr/46.31.193.233","443","INFO","not offered","",""
"ALPN","montsaintmichel.gouv.fr/46.31.193.233","443","INFO","http/1.1","",""
"cipherlist_NULL","montsaintmichel.gouv.fr/46.31.193.233","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","montsaintmichel.gouv.fr/46.31.193.233","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","montsaintmichel.gouv.fr/46.31.193.233","443","OK","not offered","","CWE-327"
"cipherlist_LOW","montsaintmichel.gouv.fr/46.31.193.233","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","montsaintmichel.gouv.fr/46.31.193.233","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","montsaintmichel.gouv.fr/46.31.193.233","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","montsaintmichel.gouv.fr/46.31.193.233","443","OK","offered","",""
"cipherlist_STRONG_FS","montsaintmichel.gouv.fr/46.31.193.233","443","OK","offered","",""
"cipher_order-tls1_2","montsaintmichel.gouv.fr/46.31.193.233","443","OK","server","",""
"cipher-tls1_2_xc030","montsaintmichel.gouv.fr/46.31.193.233","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","montsaintmichel.gouv.fr/46.31.193.233","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
