"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","HTTP","",""
"pre_128cipher","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","No 128 cipher limit bug","",""
"SSLv2","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","not offered","",""
"SSLv3","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","not offered","",""
"TLS1","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","not offered","",""
"TLS1_1","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","not offered","",""
"TLS1_2","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","offered","",""
"TLS1_3","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","not offered","",""
"ALPN","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","not offered","",""
"cipherlist_NULL","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","not offered","","CWE-327"
"cipherlist_LOW","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","offered","",""
"cipherlist_STRONG_FS","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","offered","",""
"cipher_order-tls1_2","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","server","",""
"cipher-tls1_2_xc030","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x6b","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x39","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc027","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc013","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x67","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x33","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9d","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9c","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x3d","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x35","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x3c","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x2f","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_2","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA AES256-GCM-SHA384 AES128-GCM-SHA256 AES256-SHA256 AES256-SHA AES128-SHA256 AES128-SHA","",""
"cipher_order","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","server","",""
"FS","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","offered","",""
"FS_ciphers","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA","",""
"FS_ECDHE_curves","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"DH_groups","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","RFC3526/Oakley Group 14","",""
"FS_TLS12_sig_algs","moncompte-ars.esante.gouv.fr/80.78.2.216","443","LOW","RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","yes","",""
"sessionresumption_ticket","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","supported","",""
"sessionresumption_ID","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","supported","",""
"TLS_timestamp","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","random","",""
"cert_compression","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","N/A","",""
"clientAuth","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","none","",""
"cert_numbers","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","1","",""
"cert_signatureAlgorithm","moncompte-ars.esante.gouv.fr/80.78.2.216","443","OK","SHA256 with RSA","",""
"cert_keySize","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","09CE72DCB8EF1B0CC73E0E7C73640606","",""
"cert_serialNumberLen","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","16","",""
"cert_fingerprintSHA1","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","23438BBAEA057EDB309204D6A6E0645DF0F900E1","",""
"cert_fingerprintSHA256","moncompte-ars.esante.gouv.fr/80.78.2.216","443","INFO","4394D39F1567A23BA21EC79683768742E3B18B9F5E98A089852DA658FC25D863","",""
