"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mooc-batiment-durable.fr/51.255.9.27","443","INFO","HTTP","",""
"pre_128cipher","mooc-batiment-durable.fr/51.255.9.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","",""
"SSLv3","mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","",""
"TLS1","mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","",""
"TLS1_1","mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","",""
"TLS1_2","mooc-batiment-durable.fr/51.255.9.27","443","OK","offered","",""
"TLS1_3","mooc-batiment-durable.fr/51.255.9.27","443","OK","offered with final","",""
"NPN","mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","",""
"ALPN_HTTP2","mooc-batiment-durable.fr/51.255.9.27","443","OK","h2","",""
"ALPN","mooc-batiment-durable.fr/51.255.9.27","443","INFO","http/1.1","",""
"cipherlist_NULL","mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mooc-batiment-durable.fr/51.255.9.27","443","OK","offered","",""
"cipher_order-tls1_2","mooc-batiment-durable.fr/51.255.9.27","443","OK","server","",""
"cipher-tls1_2_xc02f","mooc-batiment-durable.fr/51.255.9.27","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","mooc-batiment-durable.fr/51.255.9.27","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","mooc-batiment-durable.fr/51.255.9.27","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","mooc-batiment-durable.fr/51.255.9.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","mooc-batiment-durable.fr/51.255.9.27","443","INFO","false","",""
"cipher_order-tls1_3","mooc-batiment-durable.fr/51.255.9.27","443","OK","server","",""
"cipher-tls1_3_x1302","mooc-batiment-durable.fr/51.255.9.27","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","mooc-batiment-durable.fr/51.255.9.27","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","mooc-batiment-durable.fr/51.255.9.27","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","mooc-batiment-durable.fr/51.255.9.27","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","mooc-batiment-durable.fr/51.255.9.27","443","INFO","false","",""
"cipher_order","mooc-batiment-durable.fr/51.255.9.27","443","OK","server","",""
"FS","mooc-batiment-durable.fr/51.255.9.27","443","OK","offered","",""
"FS_ciphers","mooc-batiment-durable.fr/51.255.9.27","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","mooc-batiment-durable.fr/51.255.9.27","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","mooc-batiment-durable.fr/51.255.9.27","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","mooc-batiment-durable.fr/51.255.9.27","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","mooc-batiment-durable.fr/51.255.9.27","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","mooc-batiment-durable.fr/51.255.9.27","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","mooc-batiment-durable.fr/51.255.9.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","mooc-batiment-durable.fr/51.255.9.27","443","INFO","yes","",""
"sessionresumption_ticket","mooc-batiment-durable.fr/51.255.9.27","443","INFO","not supported","",""
"sessionresumption_ID","mooc-batiment-durable.fr/51.255.9.27","443","INFO","not supported","",""
"TLS_timestamp","mooc-batiment-durable.fr/51.255.9.27","443","INFO","random","",""
"certificate_compression","mooc-batiment-durable.fr/51.255.9.27","443","INFO","none","",""
"clientAuth","mooc-batiment-durable.fr/51.255.9.27","443","INFO","none","",""
"cert_numbers","mooc-batiment-durable.fr/51.255.9.27","443","INFO","1","",""
"cert_signatureAlgorithm","mooc-batiment-durable.fr/51.255.9.27","443","OK","SHA256 with RSA","",""
"cert_keySize","mooc-batiment-durable.fr/51.255.9.27","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mooc-batiment-durable.fr/51.255.9.27","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mooc-batiment-durable.fr/51.255.9.27","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mooc-batiment-durable.fr/51.255.9.27","443","INFO","051664F0185B74548FD809C870715A67C42E","",""
"cert_serialNumberLen","mooc-batiment-durable.fr/51.255.9.27","443","INFO","18","",""
"cert_fingerprintSHA1","mooc-batiment-durable.fr/51.255.9.27","443","INFO","3570441B0F1A00A470B0A8E453631EF755514C83","",""
"cert_fingerprintSHA256","mooc-batiment-durable.fr/51.255.9.27","443","INFO","C35857DE6288E33947F38EAC3127D53A5CAE4E383ACB819DA16D5C96024988B1","",""
