"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","oniris-nantes.fr/193.51.0.150","443","INFO","HTTP","",""
"pre_128cipher","oniris-nantes.fr/193.51.0.150","443","INFO","No 128 cipher limit bug","",""
"SSLv2","oniris-nantes.fr/193.51.0.150","443","OK","not offered","",""
"SSLv3","oniris-nantes.fr/193.51.0.150","443","OK","not offered","",""
"TLS1","oniris-nantes.fr/193.51.0.150","443","INFO","not offered","",""
"TLS1_1","oniris-nantes.fr/193.51.0.150","443","INFO","not offered","",""
"TLS1_2","oniris-nantes.fr/193.51.0.150","443","OK","offered","",""
"TLS1_3","oniris-nantes.fr/193.51.0.150","443","OK","offered with final","",""
"NPN","oniris-nantes.fr/193.51.0.150","443","INFO","not offered","",""
"ALPN","oniris-nantes.fr/193.51.0.150","443","INFO","not offered","",""
"cipherlist_NULL","oniris-nantes.fr/193.51.0.150","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","oniris-nantes.fr/193.51.0.150","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","oniris-nantes.fr/193.51.0.150","443","OK","not offered","","CWE-327"
"cipherlist_LOW","oniris-nantes.fr/193.51.0.150","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","oniris-nantes.fr/193.51.0.150","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","oniris-nantes.fr/193.51.0.150","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","oniris-nantes.fr/193.51.0.150","443","INFO","not offered","",""
"cipherlist_STRONG_FS","oniris-nantes.fr/193.51.0.150","443","OK","offered","",""
"cipher_order-tls1_2","oniris-nantes.fr/193.51.0.150","443","OK","server","",""
"cipher-tls1_2_xc02f","oniris-nantes.fr/193.51.0.150","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","oniris-nantes.fr/193.51.0.150","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","oniris-nantes.fr/193.51.0.150","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 4096    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","oniris-nantes.fr/193.51.0.150","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 4096    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
