"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","opera-comique.com/37.187.158.143","443","INFO","HTTP","",""
"pre_128cipher","opera-comique.com/37.187.158.143","443","INFO","No 128 cipher limit bug","",""
"SSLv2","opera-comique.com/37.187.158.143","443","OK","not offered","",""
"SSLv3","opera-comique.com/37.187.158.143","443","OK","not offered","",""
"TLS1","opera-comique.com/37.187.158.143","443","LOW","offered (deprecated)","",""
"TLS1_1","opera-comique.com/37.187.158.143","443","LOW","offered (deprecated)","",""
"TLS1_2","opera-comique.com/37.187.158.143","443","OK","offered","",""
"TLS1_3","opera-comique.com/37.187.158.143","443","OK","offered with final","",""
"NPN","opera-comique.com/37.187.158.143","443","INFO","not offered","",""
"ALPN","opera-comique.com/37.187.158.143","443","INFO","http/1.1","",""
"cipherlist_NULL","opera-comique.com/37.187.158.143","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","opera-comique.com/37.187.158.143","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","opera-comique.com/37.187.158.143","443","OK","not offered","","CWE-327"
"cipherlist_LOW","opera-comique.com/37.187.158.143","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","opera-comique.com/37.187.158.143","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","opera-comique.com/37.187.158.143","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","opera-comique.com/37.187.158.143","443","OK","offered","",""
"cipherlist_STRONG_FS","opera-comique.com/37.187.158.143","443","OK","offered","",""
"cipher_order-tls1","opera-comique.com/37.187.158.143","443","OK","server","",""
"cipher-tls1_xc013","opera-comique.com/37.187.158.143","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc014","opera-comique.com/37.187.158.143","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x33","opera-comique.com/37.187.158.143","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x39","opera-comique.com/37.187.158.143","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x2f","opera-comique.com/37.187.158.143","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","opera-comique.com/37.187.158.143","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1","opera-comique.com/37.187.158.143","443","INFO","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA DHE-RSA-AES128-SHA DHE-RSA-AES256-SHA AES128-SHA AES256-SHA","",""
"cipher_order-tls1_1","opera-comique.com/37.187.158.143","443","OK","server","",""
"cipher-tls1_1_xc013","opera-comique.com/37.187.158.143","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_xc014","opera-comique.com/37.187.158.143","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x33","opera-comique.com/37.187.158.143","443","LOW","TLSv1.1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x39","opera-comique.com/37.187.158.143","443","LOW","TLSv1.1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x2f","opera-comique.com/37.187.158.143","443","LOW","TLSv1.1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x35","opera-comique.com/37.187.158.143","443","LOW","TLSv1.1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_1","opera-comique.com/37.187.158.143","443","INFO","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA DHE-RSA-AES128-SHA DHE-RSA-AES256-SHA AES128-SHA AES256-SHA","",""
"cipher_order-tls1_2","opera-comique.com/37.187.158.143","443","OK","server","",""
"cipher-tls1_2_xcca8","opera-comique.com/37.187.158.143","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","opera-comique.com/37.187.158.143","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","opera-comique.com/37.187.158.143","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","opera-comique.com/37.187.158.143","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","opera-comique.com/37.187.158.143","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc027","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc013","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc014","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x67","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x33","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x6b","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x39","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9c","opera-comique.com/37.187.158.143","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9d","opera-comique.com/37.187.158.143","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x3c","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x3d","opera-comique.com/37.187.158.143","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
