"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","HTTP","",""
"pre_128cipher","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","",""
"SSLv3","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","",""
"TLS1","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","",""
"TLS1_1","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","",""
"TLS1_2","pacte-industrie.ademe.fr/62.4.4.87","443","OK","offered","",""
"TLS1_3","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","",""
"ALPN_HTTP2","pacte-industrie.ademe.fr/62.4.4.87","443","OK","h2","",""
"ALPN","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","http/1.1","",""
"cipherlist_NULL","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pacte-industrie.ademe.fr/62.4.4.87","443","OK","offered","",""
"cipher_order-tls1_2","pacte-industrie.ademe.fr/62.4.4.87","443","OK","server","",""
"cipher-tls1_2_xc02b","pacte-industrie.ademe.fr/62.4.4.87","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc02c","pacte-industrie.ademe.fr/62.4.4.87","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","pacte-industrie.ademe.fr/62.4.4.87","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","false","",""
"cipher_order","pacte-industrie.ademe.fr/62.4.4.87","443","OK","server","",""
"FS","pacte-industrie.ademe.fr/62.4.4.87","443","OK","offered","",""
"FS_ciphers","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","pacte-industrie.ademe.fr/62.4.4.87","443","OK","prime256v1 X25519","",""
"FS_TLS12_sig_algs","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512 ECDSA+SHA224","",""
"TLS_extensions","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","'server name/#0' 'max fragment length/#1' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","yes","",""
"sessionresumption_ticket","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","supported","",""
"sessionresumption_ID","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not supported","",""
"TLS_timestamp","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","random","",""
"cert_compression","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","N/A","",""
"clientAuth","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","none","",""
"cert_numbers","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","1","",""
"cert_signatureAlgorithm","pacte-industrie.ademe.fr/62.4.4.87","443","OK","ECDSA with SHA384","",""
"cert_keySize","pacte-industrie.ademe.fr/62.4.4.87","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","Digital Signature","",""
"cert_extKeyUsage","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","06A8ACF6FC24527336E762C175596E979C75","",""
"cert_serialNumberLen","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","18","",""
"cert_fingerprintSHA1","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","ABD8CFD96A426A01EE349F82DACBF166F7352437","",""
"cert_fingerprintSHA256","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","A4F49A33C017E754626C4D5762B9D8E72E9136F8A13484D2B2946EF3C993EAB3","",""
