"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","paris-est-sup.fr/193.50.159.150","443","INFO","HTTP","",""
"pre_128cipher","paris-est-sup.fr/193.50.159.150","443","INFO","No 128 cipher limit bug","",""
"SSLv2","paris-est-sup.fr/193.50.159.150","443","OK","not offered","",""
"SSLv3","paris-est-sup.fr/193.50.159.150","443","OK","not offered","",""
"TLS1","paris-est-sup.fr/193.50.159.150","443","INFO","not offered","",""
"TLS1_1","paris-est-sup.fr/193.50.159.150","443","INFO","not offered","",""
"TLS1_2","paris-est-sup.fr/193.50.159.150","443","OK","offered","",""
"TLS1_3","paris-est-sup.fr/193.50.159.150","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","paris-est-sup.fr/193.50.159.150","443","INFO","not offered","",""
"ALPN","paris-est-sup.fr/193.50.159.150","443","INFO","http/1.1","",""
"cipherlist_NULL","paris-est-sup.fr/193.50.159.150","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","paris-est-sup.fr/193.50.159.150","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","paris-est-sup.fr/193.50.159.150","443","OK","not offered","","CWE-327"
"cipherlist_LOW","paris-est-sup.fr/193.50.159.150","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","paris-est-sup.fr/193.50.159.150","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","paris-est-sup.fr/193.50.159.150","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","paris-est-sup.fr/193.50.159.150","443","OK","offered","",""
"cipherlist_STRONG_FS","paris-est-sup.fr/193.50.159.150","443","OK","offered","",""
"cipher_order-tls1_2","paris-est-sup.fr/193.50.159.150","443","OK","server","",""
"cipher-tls1_2_xc02f","paris-est-sup.fr/193.50.159.150","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","paris-est-sup.fr/193.50.159.150","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","paris-est-sup.fr/193.50.159.150","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","paris-est-sup.fr/193.50.159.150","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc027","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc013","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc014","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x67","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x33","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x6b","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x39","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9c","paris-est-sup.fr/193.50.159.150","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9d","paris-est-sup.fr/193.50.159.150","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x3c","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x3d","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x2f","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x35","paris-est-sup.fr/193.50.159.150","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_2","paris-est-sup.fr/193.50.159.150","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA AES128-GCM-SHA256 AES256-GCM-SHA384 AES128-SHA256 AES256-SHA256 AES128-SHA AES256-SHA","",""
"cipher_order","paris-est-sup.fr/193.50.159.150","443","OK","server","",""
"FS","paris-est-sup.fr/193.50.159.150","443","OK","offered","",""
"FS_ciphers","paris-est-sup.fr/193.50.159.150","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA","",""
"FS_ECDHE_curves","paris-est-sup.fr/193.50.159.150","443","OK","sect283k1 sect283r1 sect409k1 sect409r1 sect571k1 sect571r1 secp256k1 prime256v1 secp384r1 secp521r1 brainpoolP256r1 brainpoolP384r1 brainpoolP512r1","",""
"DH_groups","paris-est-sup.fr/193.50.159.150","443","OK","RFC3526/Oakley Group 14","",""
"FS_TLS12_sig_algs","paris-est-sup.fr/193.50.159.150","443","LOW","RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","paris-est-sup.fr/193.50.159.150","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'application layer protocol negotiation/#16' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","paris-est-sup.fr/193.50.159.150","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","paris-est-sup.fr/193.50.159.150","443","INFO","yes","",""
"sessionresumption_ticket","paris-est-sup.fr/193.50.159.150","443","INFO","supported","",""
"sessionresumption_ID","paris-est-sup.fr/193.50.159.150","443","INFO","supported","",""
"TLS_timestamp","paris-est-sup.fr/193.50.159.150","443","INFO","random","",""
"cert_compression","paris-est-sup.fr/193.50.159.150","443","INFO","N/A","",""
"clientAuth","paris-est-sup.fr/193.50.159.150","443","INFO","none","",""
"cert_numbers","paris-est-sup.fr/193.50.159.150","443","INFO","1","",""
"cert_signatureAlgorithm","paris-est-sup.fr/193.50.159.150","443","OK","SHA256 with RSA","",""
"cert_keySize","paris-est-sup.fr/193.50.159.150","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","paris-est-sup.fr/193.50.159.150","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","paris-est-sup.fr/193.50.159.150","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","paris-est-sup.fr/193.50.159.150","443","INFO","062327E56C5AFA0427089D614074BE5AA043","",""
"cert_serialNumberLen","paris-est-sup.fr/193.50.159.150","443","INFO","18","",""
"cert_fingerprintSHA1","paris-est-sup.fr/193.50.159.150","443","INFO","1CE427D76246E734E01F0C79C9E182CDA44F7A7D","",""
"cert_fingerprintSHA256","paris-est-sup.fr/193.50.159.150","443","INFO","F05FBEC9DAB5642CFAF7DA40DDC5D311D55BC49E3A2525B38951CA0DA31B69EE","",""
