"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","primabord.eduscol.education.fr/193.50.120.99","443","INFO","HTTP","",""
"pre_128cipher","primabord.eduscol.education.fr/193.50.120.99","443","INFO","No 128 cipher limit bug","",""
"SSLv2","primabord.eduscol.education.fr/193.50.120.99","443","OK","not offered","",""
"SSLv3","primabord.eduscol.education.fr/193.50.120.99","443","OK","not offered","",""
"TLS1","primabord.eduscol.education.fr/193.50.120.99","443","INFO","not offered","",""
"TLS1_1","primabord.eduscol.education.fr/193.50.120.99","443","INFO","not offered","",""
"TLS1_2","primabord.eduscol.education.fr/193.50.120.99","443","OK","offered","",""
"TLS1_3","primabord.eduscol.education.fr/193.50.120.99","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","primabord.eduscol.education.fr/193.50.120.99","443","INFO","not offered","",""
"ALPN","primabord.eduscol.education.fr/193.50.120.99","443","INFO","not offered","",""
"cipherlist_NULL","primabord.eduscol.education.fr/193.50.120.99","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","primabord.eduscol.education.fr/193.50.120.99","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","primabord.eduscol.education.fr/193.50.120.99","443","OK","not offered","","CWE-327"
"cipherlist_LOW","primabord.eduscol.education.fr/193.50.120.99","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","primabord.eduscol.education.fr/193.50.120.99","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","primabord.eduscol.education.fr/193.50.120.99","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","primabord.eduscol.education.fr/193.50.120.99","443","OK","offered","",""
"cipherlist_STRONG_FS","primabord.eduscol.education.fr/193.50.120.99","443","OK","offered","",""
"cipher_order-tls1_2","primabord.eduscol.education.fr/193.50.120.99","443","OK","server","",""
"cipher-tls1_2_xc02f","primabord.eduscol.education.fr/193.50.120.99","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc013","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 384   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc027","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 384   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc030","primabord.eduscol.education.fr/193.50.120.99","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc014","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 384   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc028","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 384   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x9c","primabord.eduscol.education.fr/193.50.120.99","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x2f","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x3c","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9d","primabord.eduscol.education.fr/193.50.120.99","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x35","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x3d","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x41","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-tls1_2_x84","primabord.eduscol.education.fr/193.50.120.99","443","LOW","TLSv1.2   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipherorder_TLSv1_2","primabord.eduscol.education.fr/193.50.120.99","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-AES256-SHA384 AES128-GCM-SHA256 AES128-SHA AES128-SHA256 AES256-GCM-SHA384 AES256-SHA AES256-SHA256 CAMELLIA128-SHA CAMELLIA256-SHA","",""
"cipher_order","primabord.eduscol.education.fr/193.50.120.99","443","OK","server","",""
"FS","primabord.eduscol.education.fr/193.50.120.99","443","OK","offered","",""
