"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pva-certificat.ca.gouv.fr/185.8.53.83","443","INFO","HTTP","",""
"pre_128cipher","pva-certificat.ca.gouv.fr/185.8.53.83","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","not offered","",""
"SSLv3","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","not offered","",""
"TLS1","pva-certificat.ca.gouv.fr/185.8.53.83","443","INFO","not offered","",""
"TLS1_1","pva-certificat.ca.gouv.fr/185.8.53.83","443","INFO","not offered","",""
"TLS1_2","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","offered","",""
"TLS1_3","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","offered with final","",""
"NPN","pva-certificat.ca.gouv.fr/185.8.53.83","443","INFO","not offered","",""
"ALPN_HTTP2","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","h2","",""
"ALPN","pva-certificat.ca.gouv.fr/185.8.53.83","443","INFO","http/1.1","",""
"cipherlist_NULL","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pva-certificat.ca.gouv.fr/185.8.53.83","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pva-certificat.ca.gouv.fr/185.8.53.83","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pva-certificat.ca.gouv.fr/185.8.53.83","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pva-certificat.ca.gouv.fr/185.8.53.83","443","OK","offered","",""
