"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","HTTP","",""
"pre_128cipher","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","No 128 cipher limit bug","",""
"SSLv2","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","not offered","",""
"SSLv3","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","not offered","",""
"TLS1","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","not offered","",""
"TLS1_1","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","not offered","",""
"TLS1_2","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","offered","",""
"TLS1_3","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","not offered","",""
"ALPN","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","http/1.1","",""
"cipherlist_NULL","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","not offered","","CWE-327"
"cipherlist_LOW","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","not offered","",""
"cipherlist_STRONG_FS","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","offered","",""
"cipher_order-tls1_2","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","server","",""
"cipher-tls1_2_xc030","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","server","",""
"FS","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","OK","offered","",""
"FS_ciphers","qualification.synergi2.dgscgc.interieur.gouv.fr/143.196.253.71","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
