"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","INFO","HTTP","",""
"pre_128cipher","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","INFO","No 128 cipher limit bug","",""
"SSLv2","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","OK","not offered","",""
"SSLv3","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","OK","not offered","",""
"TLS1","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","INFO","not offered","",""
"TLS1_1","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","INFO","not offered","",""
"TLS1_2","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","OK","offered","",""
"TLS1_3","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","OK","offered with final","",""
"NPN","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","INFO","not offered","",""
"ALPN_HTTP2","rct-pva-certificat.ca.gouv.fr/213.232.97.150","443","OK","h2","",""
