"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","recherche-anom.culture.gouv.fr/143.126.211.16","443","INFO","HTTP","",""
"pre_128cipher","recherche-anom.culture.gouv.fr/143.126.211.16","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","not offered","",""
"SSLv3","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","not offered","",""
"TLS1","recherche-anom.culture.gouv.fr/143.126.211.16","443","INFO","not offered","",""
"TLS1_1","recherche-anom.culture.gouv.fr/143.126.211.16","443","INFO","not offered","",""
"TLS1_2","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","offered","",""
"TLS1_3","recherche-anom.culture.gouv.fr/143.126.211.16","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","recherche-anom.culture.gouv.fr/143.126.211.16","443","INFO","not offered","",""
"ALPN","recherche-anom.culture.gouv.fr/143.126.211.16","443","INFO","not offered","",""
"cipherlist_NULL","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recherche-anom.culture.gouv.fr/143.126.211.16","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","recherche-anom.culture.gouv.fr/143.126.211.16","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","recherche-anom.culture.gouv.fr/143.126.211.16","443","INFO","not offered","",""
"cipherlist_STRONG_FS","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","offered","",""
"cipher_order-tls1_2","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","server","",""
"cipher-tls1_2_xc02f","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","recherche-anom.culture.gouv.fr/143.126.211.16","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
