"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","recrutement.ademe.fr/51.178.115.149","443","INFO","HTTP","",""
"pre_128cipher","recrutement.ademe.fr/51.178.115.149","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","",""
"SSLv3","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","",""
"TLS1","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","",""
"TLS1_1","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","",""
"TLS1_2","recrutement.ademe.fr/51.178.115.149","443","OK","offered","",""
"TLS1_3","recrutement.ademe.fr/51.178.115.149","443","OK","offered with final","",""
"NPN","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","",""
"ALPN","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","",""
"cipherlist_NULL","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","",""
"cipherlist_STRONG_FS","recrutement.ademe.fr/51.178.115.149","443","OK","offered","",""
"cipher_order-tls1_2","recrutement.ademe.fr/51.178.115.149","443","OK","server","",""
"cipher-tls1_2_xcca8","recrutement.ademe.fr/51.178.115.149","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 256   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","recrutement.ademe.fr/51.178.115.149","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","recrutement.ademe.fr/51.178.115.149","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
