"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","retourvolontaire.fr/185.75.143.178","443","INFO","HTTP","",""
"pre_128cipher","retourvolontaire.fr/185.75.143.178","443","INFO","No 128 cipher limit bug","",""
"SSLv2","retourvolontaire.fr/185.75.143.178","443","OK","not offered","",""
"SSLv3","retourvolontaire.fr/185.75.143.178","443","OK","not offered","",""
"TLS1","retourvolontaire.fr/185.75.143.178","443","INFO","not offered","",""
"TLS1_1","retourvolontaire.fr/185.75.143.178","443","INFO","not offered","",""
"TLS1_2","retourvolontaire.fr/185.75.143.178","443","OK","offered","",""
"TLS1_3","retourvolontaire.fr/185.75.143.178","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","retourvolontaire.fr/185.75.143.178","443","INFO","not offered","",""
"ALPN","retourvolontaire.fr/185.75.143.178","443","INFO","http/1.1","",""
"cipherlist_NULL","retourvolontaire.fr/185.75.143.178","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","retourvolontaire.fr/185.75.143.178","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","retourvolontaire.fr/185.75.143.178","443","OK","not offered","","CWE-327"
"cipherlist_LOW","retourvolontaire.fr/185.75.143.178","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","retourvolontaire.fr/185.75.143.178","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","retourvolontaire.fr/185.75.143.178","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","retourvolontaire.fr/185.75.143.178","443","OK","offered","",""
"cipherlist_STRONG_FS","retourvolontaire.fr/185.75.143.178","443","OK","offered","",""
"cipher_order-tls1_2","retourvolontaire.fr/185.75.143.178","443","OK","server","",""
"cipher-tls1_2_xc030","retourvolontaire.fr/185.75.143.178","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
