"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","reunion.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","reunion.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","reunion.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","reunion.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","reunion.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","reunion.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","reunion.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","reunion.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"NPN","reunion.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"ALPN_HTTP2","reunion.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","reunion.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","reunion.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","reunion.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","reunion.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","reunion.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","reunion.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","reunion.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","reunion.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","reunion.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","reunion.gouv.fr/77.159.252.140","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02f","reunion.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","reunion.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","reunion.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_x9e","reunion.gouv.fr/77.159.252.140","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
