"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","HTTP","",""
"pre_128cipher","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","No 128 cipher limit bug","",""
"SSLv2","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not offered","",""
"SSLv3","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not offered","",""
"TLS1","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","offered (deprecated)","",""
"TLS1_1","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","offered (deprecated)","",""
"TLS1_2","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","offered","",""
"TLS1_3","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","not offered","",""
"ALPN_HTTP2","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","h2","",""
"cipherlist_NULL","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not offered","","CWE-327"
"cipherlist_LOW","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","not offered","",""
"cipherlist_STRONG_FS","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","offered","",""
"cipher_order-tls1","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","server","",""
"cipher-tls1_xc00a","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","TLSv1   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc009","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","TLSv1   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA","",""
"cipher_order-tls1_1","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","server","",""
"cipher-tls1_1_xc00a","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","TLSv1.1   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_xc009","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","TLSv1.1   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_1","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA","",""
"cipher_order-tls1_2","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","server","",""
"cipher-tls1_2_xc02c","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 256   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc024","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc00a","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc023","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc009","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_2","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"prioritize_chacha_TLSv1_2","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","false","",""
"cipher_order","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","server","",""
"FS","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","offered","",""
"FS_ciphers","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"FS_ECDHE_curves","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","prime256v1","",""
"FS_TLS12_sig_algs","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","ECDSA+SHA512 ECDSA+SHA384 ECDSA+SHA256 ECDSA+SHA224 ECDSA+SHA1","",""
"TLS_extensions","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'renegotiation info/#65281'","",""
"TLS_session_ticket","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","yes","",""
"sessionresumption_ticket","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","not supported","",""
"sessionresumption_ID","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","supported","",""
"TLS_timestamp","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","random","",""
"cert_compression","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","N/A","",""
"clientAuth","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","none","",""
"cert_numbers","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","1","",""
"cert_signatureAlgorithm","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","ECDSA with SHA384","",""
"cert_keySize","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","EC 384 bits (curve P-384)","",""
"cert_keyUsage","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","Digital Signature","",""
"cert_extKeyUsage","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","05526912080F799C075BC8AF8C3C4F981F53","",""
"cert_serialNumberLen","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","18","",""
"cert_fingerprintSHA1","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","518F4E929453378F406C2EF122F2230112A8E690","",""
"cert_fingerprintSHA256","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","A9E1D8BB9C5B0EA99BAA8122747861E195A99C60DF8AC5BD6A0652AD1D675FD3","",""
"cert","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDxzCCA06gAwIBAgISBVJpEggPeZwHW8ivjDxPmB9TMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODAeFw0yNTExMDIyMjM5NDdaFw0yNjAxMzEyMjM5NDZaMCsxKTAnBgNVBAMTIHNlY3VyaXR5cHJpdmFjeS5sYWZyZW5jaHRlY2guY29tMHYwEAYHKoZIzj0CAQYFK4EEACIDYgAEiphl7MCu8CGAi8c299xnnll6QlUpqlGliEQSSk4HVVR5Rdx+PjAiJgQcZoCOFsxKakgc5kCcaFvECjuev5j3tH8+6fS8eiTcHmGaN+1qIbPEuegitTprcz3wAw0C7naXo4ICLDCCAigwDgYDVR0PAQH/BAQDAgeAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBRG0BHJm2DhV7mG8stw3Fr/L45TVDAfBgNVHSMEGDAWgBSPDROi9i5+0VBsMxg4XVmOI3KRyjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly9lOC5pLmxlbmNyLm9yZy8wKwYDVR0RBCQwIoIgc2VjdXJpdHlwcml2YWN5LmxhZnJlbmNodGVjaC5jb20wEwYDVR0gBAwwCjAIBgZngQwBAgEwLQYDVR0fBCYwJDAioCCgHoYcaHR0cDovL2U4LmMubGVuY3Iub3JnLzg0LmNybDCCAQIGCisGAQQB1nkCBAIEgfMEgfAA7gB1AGQRxGykEuyniRyiAi4AvKtPKAfUHjUnq+r+1QPJfc3wAAABmkbvlawAAAQDAEYwRAIge4mA7YcL3xL5XMymWpVZMjXZFO4zEkzqpK0b+XzsDecCIFFJB/PtHcu3YIhxkYQqKcHlzuhSBcb0ToRWPO4AuKz6AHUADleUvPOuqT4zGyyZB7P3kN+bwj1xMiXdIaklrGHFTiEAAAGaRu+VrQAABAMARjBEAiBHPSJj9p2gK53PBtO9gu1xS74+ZlvCBm0hVy4cHdaeXgIgbeVXbaWokUWn8J+upLVbBO7D1fkXCc5CtMp6L2AncsowCgYIKoZIzj0EAwMDZwAwZAIwRFeotsXlvGGJwraaIiV9Pgy14I/90ngKkh9BzumXttRxzC3hxg2S6DUZho7r0NlTAjBzjLdgaijJ07atWFbTfRYfqpWxrxpAkjVB6LTveD+b2CwgTRxRfTfxtP8jO5EX5y8=\n-----END CERTIFICATE-----","",""
"cert_commonName","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","securityprivacy.lafrenchtech.com","",""
"cert_commonName_wo_SNI","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","10ans.reseau-entreprendre-paris.fr","",""
"cert_subjectAltName","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","securityprivacy.lafrenchtech.com","",""
"cert_trust","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","passed.","",""
"cert_certificatePolicies_EV","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","no","",""
"cert_expirationStatus","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","88 >= 30 days","",""
"cert_notBefore","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","2025-11-02 22:39","",""
"cert_notAfter","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","2026-01-31 22:39","",""
"cert_extlifeSpan","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","not present","",""
"cert_crlDistributionPoints","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","http://e8.c.lencr.org/84.crl","",""
"cert_ocspURL","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","--","",""
"OCSP_stapling","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","not offered","",""
"cert_mustStapleExtension","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","--","",""
"DNS_CAArecord","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","--","",""
"certificate_transparency","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","yes (certificate extension)","",""
"certs_countServer","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","2","",""
"certs_list_ordering_problem","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","no","",""
"cert_caIssuers","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","E8 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVjCCAj6gAwIBAgIQY5WTY8JOcIJxWRi/w9ftVjANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODB2MBAGByqGSM49AgEGBSuBBAAiA2IABNFl8l7cS7QMApzSsvru6WyrOq44ofTUOTIzxULUzDMMNMchIJBwXOhiLxxxs0LXeb5GDcHbR6EToMffgSZjO9SNHfY9gjMy9vQr5/WWOrQTZxh7az6NSNnq3u2ubT6HTKOB+DCB9TAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFI8NE6L2Ln7RUGwzGDhdWY4jcpHKMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMA0GCSqGSIb3DQEBCwUAA4ICAQBnE0hGINKsCYWi0Xx1ygxD5qihEjZ0RI3tTZz1wuATH3ZwYPIp97kWEayanD1j0cDhIYzy4CkDo2jB8D5t0a6zZWzlr98dAQFNh8uKJkIHdLShy+nUyeZxc5bNeMp1Lu0gSzE4McqfmNMvIpeiwWSYO9w82Ob8otvXcO2JUYi3svHIWRm3+707DUbL51XMcY2iZdlCq4Wa9nbuk3WTU4gr6LY8MzVAaDQG2+4U3eJ6qUF10bBnR1uuVyDYs9RhrwucRVnfuDj29CMLTsplM5f5wSV5hUpmUwp/vV7M4w4aGunt74koX71n4EdagCsL/Yk5+mAQU0+tue0JOfAV/R6t1k+Xk9s2HMQFeoxppfzAVC04FdG9M+AC2JWxmFSt6BCuh3CEey3fE52Qrj9YM75rtvIjsm/1Hl+u//Wqxnu1ZQ4jpa+VpuZiGOlWrqSP9eogdOhCGisnyewWJwRQOqK16wiGyZeRxs/Bekw65vwSIaVkBruPiTfMOo0Zh4gVa8/qJgMbJbyrwwG97z/PRgmLKCDl8z3dtA0Z7qq7fta0Gl24uyuB05dqI5J1LvAzKuWdIjT1tP8qCoxSE/xpix8hX2dt3h+/jujUgFPFZ0EVZ0xSyBNRF3MboGZnYXFUxpNjTWPKpagDHJQmqrAcDmWJnMsFY3jSu1igv3OefnWjSQ==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","83624FD338C8D9B023C18A67CB7A9C0519DA43D11775B4C6CBDAD45C3D997C52","",""
"intermediate_cert_notBefore <#1>","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","E8 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","+1 seconds from localtime","",""
"HTTP_headerTime","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","1762283040","",""
"HTTP_headerAge","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","1 seconds","",""
"ipv4_in_header","securityprivacy.lafrenchtech.com/163.172.207.110","443","MEDIUM","debug: protocol:https://,header.X_FORWARDED_FOR:,header.X_REAL_IP:,remote_ip:::ffff:40.65.56.227,request.ip:::ffff:40.65.56.227,port:443,host:securityprivacy.lafrenchtech.com (check if it's your IP address or e.g. a cluster IP)","","CWE-212"
"HSTS","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","not offered","",""
"HPKP","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","nginx","",""
"banner_application","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","No application banner found","",""
"cookie_count","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"X-Frame-Options","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","nosniff","",""
"X-XSS-Protection","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","1; mode=block","",""
"Cache-Control","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","no-cache","",""
"banner_reverseproxy","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","x-varnish: 234067984 234067981via: 1.1 varnishx-cache: HIT","","CWE-200"
"heartbleed","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","supported","","CWE-310"
"secure_client_renego","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","supported","",""
"SWEET32","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","no RSA certificate, can't be used with SSLv2 elsewhere","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST_CBC_TLS1","securityprivacy.lafrenchtech.com/163.172.207.110","443","MEDIUM","ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA","CVE-2011-3389","CWE-20"
"BEAST","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","VULNERABLE -- but also supports higher protocols  TLSv1.1 TLSv1.2 (likely mitigated)","CVE-2011-3389","CWE-20"
"LUCKY13","securityprivacy.lafrenchtech.com/163.172.207.110","443","LOW","potentially vulnerable, uses obsolete TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","securityprivacy.lafrenchtech.com/163.172.207.110","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_70","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","No connection","",""
"clientsimulation-android_81","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","securityprivacy.lafrenchtech.com/163.172.207.110","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
