"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","HTTP","",""
"pre_128cipher","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","No 128 cipher limit bug","",""
"SSLv2","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","not offered","",""
"SSLv3","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","not offered","",""
"TLS1","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","not offered","",""
"TLS1_1","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","not offered","",""
"TLS1_2","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","offered","",""
"TLS1_3","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","offered with final","",""
"NPN","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","not offered","",""
"ALPN_HTTP2","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","h2","",""
"ALPN","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","http/1.1","",""
"cipherlist_NULL","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","not offered","","CWE-327"
"cipherlist_LOW","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","not offered","",""
"cipherlist_STRONG_FS","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","offered","",""
"cipher_order-tls1_2","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc030","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256","",""
"prioritize_chacha_TLSv1_2","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","INFO","true","",""
"cipher_order-tls1_3","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_3_x1302","secours17.pp.gendarmerie.interieur.gouv.fr/185.209.55.155","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
