"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","skyjed.com/18.154.110.37","443","INFO","HTTP","",""
"pre_128cipher","skyjed.com/18.154.110.37","443","INFO","No 128 cipher limit bug","",""
"SSLv2","skyjed.com/18.154.110.37","443","OK","not offered","",""
"SSLv3","skyjed.com/18.154.110.37","443","OK","not offered","",""
"TLS1","skyjed.com/18.154.110.37","443","INFO","not offered","",""
"TLS1_1","skyjed.com/18.154.110.37","443","INFO","not offered","",""
"TLS1_2","skyjed.com/18.154.110.37","443","OK","offered","",""
"TLS1_3","skyjed.com/18.154.110.37","443","OK","offered with final","",""
"NPN","skyjed.com/18.154.110.37","443","INFO","not offered","",""
"ALPN_HTTP2","skyjed.com/18.154.110.37","443","OK","h2","",""
"ALPN","skyjed.com/18.154.110.37","443","INFO","http/1.1","",""
"cipherlist_NULL","skyjed.com/18.154.110.37","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","skyjed.com/18.154.110.37","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","skyjed.com/18.154.110.37","443","OK","not offered","","CWE-327"
"cipherlist_LOW","skyjed.com/18.154.110.37","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","skyjed.com/18.154.110.37","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","skyjed.com/18.154.110.37","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","skyjed.com/18.154.110.37","443","INFO","not offered","",""
"cipherlist_STRONG_FS","skyjed.com/18.154.110.37","443","OK","offered","",""
"cipher_order-tls1_2","skyjed.com/18.154.110.37","443","OK","server","",""
"cipher-tls1_2_xc02f","skyjed.com/18.154.110.37","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","skyjed.com/18.154.110.37","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","skyjed.com/18.154.110.37","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","skyjed.com/18.154.110.37","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","skyjed.com/18.154.110.37","443","INFO","false","",""
"cipher_order-tls1_3","skyjed.com/18.154.110.37","443","OK","server","",""
"cipher-tls1_3_x1301","skyjed.com/18.154.110.37","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH/MLKEM AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","skyjed.com/18.154.110.37","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH/MLKEM AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","skyjed.com/18.154.110.37","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH/MLKEM ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_3","skyjed.com/18.154.110.37","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256","",""
"prioritize_chacha_TLSv1_3","skyjed.com/18.154.110.37","443","INFO","false","",""
"cipher_order","skyjed.com/18.154.110.37","443","OK","server","",""
"FS","skyjed.com/18.154.110.37","443","OK","offered","",""
"FS_ciphers","skyjed.com/18.154.110.37","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_KEMs","skyjed.com/18.154.110.37","443","OK","SecP256r1MLKEM768 X25519MLKEM768","",""
"FS_ECDHE_curves","skyjed.com/18.154.110.37","443","OK","prime256v1 secp384r1 X25519","",""
"FS_TLS12_sig_algs","skyjed.com/18.154.110.37","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","skyjed.com/18.154.110.37","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","skyjed.com/18.154.110.37","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","skyjed.com/18.154.110.37","443","INFO","valid for 78197 seconds only (<daily)","",""
"SSL_sessionID_support","skyjed.com/18.154.110.37","443","INFO","yes","",""
"sessionresumption_ticket","skyjed.com/18.154.110.37","443","INFO","supported","",""
"sessionresumption_ID","skyjed.com/18.154.110.37","443","INFO","not supported","",""
"TLS_timestamp","skyjed.com/18.154.110.37","443","INFO","random","",""
"certificate_compression","skyjed.com/18.154.110.37","443","INFO","none","",""
"clientAuth","skyjed.com/18.154.110.37","443","INFO","none","",""
"cert_numbers","skyjed.com/18.154.110.37","443","INFO","1","",""
"cert_signatureAlgorithm","skyjed.com/18.154.110.37","443","OK","SHA256 with RSA","",""
"cert_keySize","skyjed.com/18.154.110.37","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","skyjed.com/18.154.110.37","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","skyjed.com/18.154.110.37","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","skyjed.com/18.154.110.37","443","INFO","01D4859F74410A94F0FABB2472F600C7","",""
"cert_serialNumberLen","skyjed.com/18.154.110.37","443","INFO","16","",""
"cert_fingerprintSHA1","skyjed.com/18.154.110.37","443","INFO","87BF1B33F498CB1B53B4AF503F9AF4377F468823","",""
"cert_fingerprintSHA256","skyjed.com/18.154.110.37","443","INFO","6282B0A6CE66EC0A6322F5F91BBE279FEDE80D5872127274DBA4D1C27D5E515A","",""
