"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","HTTP","",""
"pre_128cipher","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","No 128 cipher limit bug","",""
"SSLv2","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","not offered","",""
"SSLv3","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","not offered","",""
"TLS1","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","not offered","",""
"TLS1_1","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","not offered","",""
"TLS1_2","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","offered","",""
"TLS1_3","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","offered with final","",""
"NPN","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","not offered","",""
"ALPN","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","http/1.1","",""
"cipherlist_NULL","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","not offered","","CWE-327"
"cipherlist_LOW","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","not offered","",""
"cipherlist_STRONG_FS","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","offered","",""
"cipher_order-tls1_2","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 384   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 384   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 384   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","NOT a server cipher order configured","",""
"FS","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","offered","",""
"FS_ciphers","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","prime256v1 secp384r1 X25519","",""
"FS_TLS12_sig_algs","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","ECDSA+SHA512 ECDSA+SHA384 ECDSA+SHA256 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","yes","",""
"sessionresumption_ticket","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","not supported","",""
"sessionresumption_ID","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","supported","",""
"TLS_timestamp","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","random","",""
"certificate_compression","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","none","",""
"clientAuth","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","none","",""
"cert_numbers","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","1","",""
"cert_signatureAlgorithm","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","ECDSA with SHA384","",""
"cert_keySize","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","Digital Signature","",""
"cert_extKeyUsage","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","05E5437BC9ADA191906E1366600AC5B8711E","",""
"cert_serialNumberLen","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","18","",""
"cert_fingerprintSHA1","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","0B3461371F4C4D24AD0DD55C1A3DF26358C73265","",""
"cert_fingerprintSHA256","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","15F6F459D6F00F58D497DACEC1E4B243DFEE8A2C8F8A95AC6F5BBF712F3012A8","",""
"cert","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDqDCCAy+gAwIBAgISBeVDe8mtoZGQbhNmYArFuHEeMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNzAeFw0yNTExMTEyMDIxNDRaFw0yNjAyMDkyMDIxNDNaMCkxJzAlBgNVBAMTHnNub3NtLWJldGEuZW5zbS5zcG9ydHMuZ291di5mcjBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABIKWcqRNkuCHOTpbOTgTyTrUX6+4WQmSqUH6ipBlvMduFtM/cTz9AKrlwzEaug8X3GTRDBhyJmTnraaCe4oTkz6jggIsMIICKDAOBgNVHQ8BAf8EBAMCB4AwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFNhV+uE/Xg9Qm7S4OLbvWmF5xYbWMB8GA1UdIwQYMBaAFK5IntyHHUSgb9qi5WB0BHjCnACAMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL2U3LmkubGVuY3Iub3JnLzApBgNVHREEIjAggh5zbm9zbS1iZXRhLmVuc20uc3BvcnRzLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLQYDVR0fBCYwJDAioCCgHoYcaHR0cDovL2U3LmMubGVuY3Iub3JnLzMxLmNybDCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB3AMs49xWJfIShRF9bwd37yW7ymlnNRwppBYWwyxTDFFjnAAABmnTKavUAAAQDAEgwRgIhAM5/onnmgrkmtt/j8eMDivxYgA6sHqJe0tukZlM+N/3sAiEA2kR9GWjO0eSZYwoQQSC3CIZwW1iMGdzPcKWtj9ufv/YAdQCWl2S/VViXrfdDh2g3CEJ36fA61fak8zZuRqQ/D8qpxgAAAZp0ymsqAAAEAwBGMEQCICYvATTBv6jThKOwDnh6FE7fEiWkzaY8r26FSfN//JWjAiANHHZOpkAwBDwrWE/ElMgIo/mtomNut8Cc4Ym2PVSMLjAKBggqhkjOPQQDAwNnADBkAjA9XBgXy/qR040zwDOVLvpVZDRLuIaOUHICYv9H4Dp7Dot5VFmbni594svowQH3HRICMBT4hHkSCE/IC4wsD4w8rvzjmKGXQuej/9NEg40SwpBCTPXGZfs9ws1KwBWcxw0DJg==\n-----END CERTIFICATE-----","",""
"cert_commonName","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","snosm-beta.ensm.sports.gouv.fr","",""
"cert_commonName_wo_SNI","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","snosm-beta.ensm.sports.gouv.fr","",""
"cert_subjectAltName","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","snosm-beta.ensm.sports.gouv.fr","",""
"cert_trust","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","passed.","",""
"cert_certificatePolicies_EV","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","no","",""
"cert_expirationStatus","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","89 >= 30 days","",""
"cert_notBefore","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","2025-11-11 20:21","",""
"cert_notAfter","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","2026-02-09 20:21","",""
"cert_extlifeSpan","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","not present","",""
"cert_crlDistributionPoints","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","http://e7.c.lencr.org/31.crl","",""
"cert_ocspURL","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","--","",""
"OCSP_stapling","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","not offered","",""
"cert_mustStapleExtension","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","--","",""
"DNS_CAArecord","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","LOW","--","",""
"certificate_transparency","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","yes (certificate extension)","",""
"certs_countServer","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","2","",""
"certs_list_ordering_problem","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","no","",""
"cert_caIssuers","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","E7 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVzCCAj+gAwIBAgIRAKp18eYrjwoiCWbTi7/UuqEwDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjQwMzEzMDAwMDAwWhcNMjcwMzEyMjM1OTU5WjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCRTcwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAARB6ASTCFh/vjcwDMCgQer+VtqEkz7JANurZxLP+U9TCeioL6sp5Z8VRvRbYk4P1INBmbefQHJFHCxcSjKmwtvGBWpl/9ra8HW0QDsUaJW2qOJqceJ0ZVFT3hbUHifBM/2jgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBSuSJ7chx1EoG/aouVgdAR4wpwAgDAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAjx66fDdLk5ywFn3CzA1w1qfylHUDaEf0QZpXcJseddJGSfbUUOvbNR9N/QQ16K1lXl4VFyhmGXDT5Kdfcr0RvIIVrNxFh4lqHtRRCP6RBRstqbZ2zURgqakn/Xip0iaQL0IdfHBZr396FgknniRYFckKORPGyM3QKnd66gtMst8I5nkRQlAg/Jb+Gc3egIvuGKWboE1G89NTsN9LTDD3PLj0dUMrOIuqVjLB8pEC6yk9enrlrqjXQgkLEYhXzq7dLafv5Vkig6Gl0nuuqjqfp0Q1bi1oyVNAlXe6aUXw92CcghC9bNsKEO1+M52YY5+ofIXlS/SEQbvVYYBLZ5yeiglV6t3SM6H+vTG0aP9YHzLn/KVOHzGQfXDP7qM5tkf+7diZe7o2fw6O7IvN6fsQXEQQj8TJUXJxv2/uJhcuy/tSDgXwHM8Uk34WNbRT7zGTGkQRX0gsbjAea/jYAoWv0ZvQRwpqPe79D/i7Cep8qWnA+7AE/3B3S/3dEEYmc0lpe1366A/6GEgk3ktr9PEoQrLChs6Itu3wnNLB2euC8IKGLQFpGtOO/2/hiAKjyajaBP25w1jF0Wl8Bbqne3uZ2q1GyPFJYRmT7/OXpmOH/FVLtwS+8ng1cAmpCujPwteJZNcDG0sF2n/sc0+SQf49fdyUK0ty+VUwFj9tmWxyR/M=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","AEB1FD7410E83BC96F5DA3C6A7C2C1BB836D1FA5CB86E708515890E428A8770B","",""
"intermediate_cert_notBefore <#1>","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","E7 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","302 Found ('/')","",""
"HTTP_clock_skew","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","snosm-beta.ensm.sports.gouv.fr/164.132.77.154","443","INFO","1762933446","",""
