"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","snds.gouv.fr/93.174.145.177","443","INFO","HTTP","",""
"pre_128cipher","snds.gouv.fr/93.174.145.177","443","INFO","No 128 cipher limit bug","",""
"SSLv2","snds.gouv.fr/93.174.145.177","443","OK","not offered","",""
"SSLv3","snds.gouv.fr/93.174.145.177","443","OK","not offered","",""
"TLS1","snds.gouv.fr/93.174.145.177","443","INFO","not offered","",""
"TLS1_1","snds.gouv.fr/93.174.145.177","443","INFO","not offered","",""
"TLS1_2","snds.gouv.fr/93.174.145.177","443","OK","offered","",""
"TLS1_3","snds.gouv.fr/93.174.145.177","443","OK","offered with final","",""
"NPN","snds.gouv.fr/93.174.145.177","443","INFO","not offered","",""
"ALPN","snds.gouv.fr/93.174.145.177","443","INFO","not offered","",""
"cipherlist_NULL","snds.gouv.fr/93.174.145.177","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","snds.gouv.fr/93.174.145.177","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","snds.gouv.fr/93.174.145.177","443","OK","not offered","","CWE-327"
"cipherlist_LOW","snds.gouv.fr/93.174.145.177","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","snds.gouv.fr/93.174.145.177","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","snds.gouv.fr/93.174.145.177","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","snds.gouv.fr/93.174.145.177","443","INFO","not offered","",""
"cipherlist_STRONG_FS","snds.gouv.fr/93.174.145.177","443","OK","offered","",""
"cipher_order-tls1_2","snds.gouv.fr/93.174.145.177","443","OK","server","",""
"cipher-tls1_2_xcca8","snds.gouv.fr/93.174.145.177","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 384   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc030","snds.gouv.fr/93.174.145.177","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","snds.gouv.fr/93.174.145.177","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","snds.gouv.fr/93.174.145.177","443","INFO","ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","snds.gouv.fr/93.174.145.177","443","OK","server","",""
"cipher-tls1_3_x1303","snds.gouv.fr/93.174.145.177","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 256   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1302","snds.gouv.fr/93.174.145.177","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1301","snds.gouv.fr/93.174.145.177","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","snds.gouv.fr/93.174.145.177","443","INFO","TLS_CHACHA20_POLY1305_SHA256 TLS_AES_256_GCM_SHA384 TLS_AES_128_GCM_SHA256","",""
"cipher_order","snds.gouv.fr/93.174.145.177","443","OK","server","",""
"FS","snds.gouv.fr/93.174.145.177","443","OK","offered","",""
"FS_ciphers","snds.gouv.fr/93.174.145.177","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","snds.gouv.fr/93.174.145.177","443","OK","prime256v1 secp384r1 X25519","",""
"DH_groups","snds.gouv.fr/93.174.145.177","443","OK","ffdhe2048 ffdhe3072 ffdhe4096","",""
"FS_TLS12_sig_algs","snds.gouv.fr/93.174.145.177","443","INFO","RSA+SHA512 RSA+SHA384 RSA+SHA256","",""
"FS_TLS13_sig_algs","snds.gouv.fr/93.174.145.177","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256","",""
"TLS_extensions","snds.gouv.fr/93.174.145.177","443","INFO","'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","snds.gouv.fr/93.174.145.177","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","snds.gouv.fr/93.174.145.177","443","INFO","yes","",""
"sessionresumption_ticket","snds.gouv.fr/93.174.145.177","443","INFO","not supported","",""
"sessionresumption_ID","snds.gouv.fr/93.174.145.177","443","INFO","supported","",""
"TLS_timestamp","snds.gouv.fr/93.174.145.177","443","INFO","random","",""
"certificate_compression","snds.gouv.fr/93.174.145.177","443","INFO","none","",""
