"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","snu.gouv.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","snu.gouv.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","snu.gouv.fr/185.75.143.93","443","OK","not offered","",""
"SSLv3","snu.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1_1","snu.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","snu.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","snu.gouv.fr/185.75.143.93","443","OK","offered with final","",""
"ALPN_HTTP2","snu.gouv.fr/185.75.143.93","443","OK","h2","",""
"ALPN","snu.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","snu.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","snu.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","snu.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","snu.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","snu.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","snu.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","snu.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"cipherlist_STRONG_FS","snu.gouv.fr/185.75.143.93","443","OK","offered","",""
"cipher-tls1_2_xc030","snu.gouv.fr/185.75.143.93","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","snu.gouv.fr/185.75.143.93","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"supportedciphers_TLSv1_2","snu.gouv.fr/185.75.143.93","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384","",""
"FS","snu.gouv.fr/185.75.143.93","443","OK","offered","",""
"FS_ciphers","snu.gouv.fr/185.75.143.93","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","snu.gouv.fr/185.75.143.93","443","OK","prime256v1 secp384r1 secp521r1","",""
