"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sport.onisep.fr/104.20.30.95","443","INFO","HTTP","",""
"pre_128cipher","sport.onisep.fr/104.20.30.95","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sport.onisep.fr/104.20.30.95","443","OK","not offered","",""
"SSLv3","sport.onisep.fr/104.20.30.95","443","OK","not offered","",""
"TLS1","sport.onisep.fr/104.20.30.95","443","INFO","not offered","",""
"TLS1_1","sport.onisep.fr/104.20.30.95","443","INFO","not offered","",""
"TLS1_2","sport.onisep.fr/104.20.30.95","443","OK","offered","",""
"TLS1_3","sport.onisep.fr/104.20.30.95","443","OK","offered with final","",""
"NPN","sport.onisep.fr/104.20.30.95","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","sport.onisep.fr/104.20.30.95","443","OK","h2","",""
"ALPN","sport.onisep.fr/104.20.30.95","443","INFO","http/1.1","",""
"cipherlist_NULL","sport.onisep.fr/104.20.30.95","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sport.onisep.fr/104.20.30.95","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sport.onisep.fr/104.20.30.95","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sport.onisep.fr/104.20.30.95","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sport.onisep.fr/104.20.30.95","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sport.onisep.fr/104.20.30.95","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","sport.onisep.fr/104.20.30.95","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sport.onisep.fr/104.20.30.95","443","OK","offered","",""
"cipher_order-tls1_2","sport.onisep.fr/104.20.30.95","443","OK","server","",""
"cipher-tls1_2_xc02f","sport.onisep.fr/104.20.30.95","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca8","sport.onisep.fr/104.20.30.95","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc030","sport.onisep.fr/104.20.30.95","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc027","sport.onisep.fr/104.20.30.95","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","sport.onisep.fr/104.20.30.95","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipherorder_TLSv1_2","sport.onisep.fr/104.20.30.95","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-SHA384","",""
"prioritize_chacha_TLSv1_2","sport.onisep.fr/104.20.30.95","443","INFO","false","",""
"cipher_order-tls1_3","sport.onisep.fr/104.20.30.95","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","sport.onisep.fr/104.20.30.95","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH/MLKEM AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","sport.onisep.fr/104.20.30.95","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH/MLKEM ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","sport.onisep.fr/104.20.30.95","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH/MLKEM AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","sport.onisep.fr/104.20.30.95","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","sport.onisep.fr/104.20.30.95","443","OK","server -- TLS 1.3 client determined","",""
"FS","sport.onisep.fr/104.20.30.95","443","OK","offered","",""
"FS_ciphers","sport.onisep.fr/104.20.30.95","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"FS_KEMs","sport.onisep.fr/104.20.30.95","443","OK","X25519MLKEM768 X25519Kyber768Draft00","",""
"FS_ECDHE_curves","sport.onisep.fr/104.20.30.95","443","OK","prime256v1 secp384r1 secp521r1 X25519","",""
"FS_TLS12_sig_algs","sport.onisep.fr/104.20.30.95","443","INFO","RSA-PSS-RSAE+SHA256 RSA+SHA256 RSA-PSS-RSAE+SHA384","",""
"FS_TLS13_sig_algs","sport.onisep.fr/104.20.30.95","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","sport.onisep.fr/104.20.30.95","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","sport.onisep.fr/104.20.30.95","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","sport.onisep.fr/104.20.30.95","443","INFO","yes","",""
"sessionresumption_ticket","sport.onisep.fr/104.20.30.95","443","INFO","supported","",""
"sessionresumption_ID","sport.onisep.fr/104.20.30.95","443","INFO","supported","",""
"TLS_timestamp","sport.onisep.fr/104.20.30.95","443","INFO","random","",""
"certificate_compression","sport.onisep.fr/104.20.30.95","443","INFO","0002/Brotli","",""
"clientAuth","sport.onisep.fr/104.20.30.95","443","INFO","none","",""
"cert_numbers","sport.onisep.fr/104.20.30.95","443","INFO","1","",""
"cert_signatureAlgorithm","sport.onisep.fr/104.20.30.95","443","OK","SHA384 with RSA","",""
"cert_keySize","sport.onisep.fr/104.20.30.95","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","sport.onisep.fr/104.20.30.95","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sport.onisep.fr/104.20.30.95","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","sport.onisep.fr/104.20.30.95","443","INFO","1F3DB9B3BC25A23394ACD86EDC18272C","",""
"cert_serialNumberLen","sport.onisep.fr/104.20.30.95","443","INFO","16","",""
"cert_fingerprintSHA1","sport.onisep.fr/104.20.30.95","443","INFO","90C08D04B94777148D7FE57D08A0078A517C05E3","",""
"cert_fingerprintSHA256","sport.onisep.fr/104.20.30.95","443","INFO","7BA39A58D98BD2D2F7CF264D1CA79BE56B89505E66A9729F46A42A1183B3D929","",""
