"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sparc.finances.gouv.fr/142.44.52.142","443","INFO","HTTP","",""
"pre_128cipher","sparc.finances.gouv.fr/142.44.52.142","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sparc.finances.gouv.fr/142.44.52.142","443","OK","not offered","",""
"SSLv3","sparc.finances.gouv.fr/142.44.52.142","443","OK","not offered","",""
"TLS1","sparc.finances.gouv.fr/142.44.52.142","443","INFO","not offered","",""
"TLS1_1","sparc.finances.gouv.fr/142.44.52.142","443","INFO","not offered","",""
"TLS1_2","sparc.finances.gouv.fr/142.44.52.142","443","OK","offered","",""
"TLS1_3","sparc.finances.gouv.fr/142.44.52.142","443","OK","offered with final","",""
"NPN","sparc.finances.gouv.fr/142.44.52.142","443","INFO","not offered","",""
"ALPN_HTTP2","sparc.finances.gouv.fr/142.44.52.142","443","OK","h2","",""
"ALPN","sparc.finances.gouv.fr/142.44.52.142","443","INFO","http/1.1","",""
"cipherlist_NULL","sparc.finances.gouv.fr/142.44.52.142","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sparc.finances.gouv.fr/142.44.52.142","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sparc.finances.gouv.fr/142.44.52.142","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sparc.finances.gouv.fr/142.44.52.142","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sparc.finances.gouv.fr/142.44.52.142","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sparc.finances.gouv.fr/142.44.52.142","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sparc.finances.gouv.fr/142.44.52.142","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sparc.finances.gouv.fr/142.44.52.142","443","OK","offered","",""
"cipher_order-tls1_2","sparc.finances.gouv.fr/142.44.52.142","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","sparc.finances.gouv.fr/142.44.52.142","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","sparc.finances.gouv.fr/142.44.52.142","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","sparc.finances.gouv.fr/142.44.52.142","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","sparc.finances.gouv.fr/142.44.52.142","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","sparc.finances.gouv.fr/142.44.52.142","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","sparc.finances.gouv.fr/142.44.52.142","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","sparc.finances.gouv.fr/142.44.52.142","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","sparc.finances.gouv.fr/142.44.52.142","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","sparc.finances.gouv.fr/142.44.52.142","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","sparc.finances.gouv.fr/142.44.52.142","443","INFO","NOT a server cipher order configured","",""
"FS","sparc.finances.gouv.fr/142.44.52.142","443","OK","offered","",""
"FS_ciphers","sparc.finances.gouv.fr/142.44.52.142","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","sparc.finances.gouv.fr/142.44.52.142","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
