"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sve.education.gouv.fr/185.75.143.22","443","INFO","HTTP","",""
"pre_128cipher","sve.education.gouv.fr/185.75.143.22","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sve.education.gouv.fr/185.75.143.22","443","OK","not offered","",""
"SSLv3","sve.education.gouv.fr/185.75.143.22","443","OK","not offered","",""
"TLS1","sve.education.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"TLS1_1","sve.education.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"TLS1_2","sve.education.gouv.fr/185.75.143.22","443","OK","offered","",""
"TLS1_3","sve.education.gouv.fr/185.75.143.22","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","sve.education.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"ALPN_HTTP2","sve.education.gouv.fr/185.75.143.22","443","OK","h2","",""
"ALPN","sve.education.gouv.fr/185.75.143.22","443","INFO","http/1.1","",""
"cipherlist_NULL","sve.education.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sve.education.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sve.education.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sve.education.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sve.education.gouv.fr/185.75.143.22","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sve.education.gouv.fr/185.75.143.22","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sve.education.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sve.education.gouv.fr/185.75.143.22","443","OK","offered","",""
"cipher_order-tls1_2","sve.education.gouv.fr/185.75.143.22","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","sve.education.gouv.fr/185.75.143.22","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","sve.education.gouv.fr/185.75.143.22","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 4096    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","sve.education.gouv.fr/185.75.143.22","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","sve.education.gouv.fr/185.75.143.22","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 4096    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","sve.education.gouv.fr/185.75.143.22","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","sve.education.gouv.fr/185.75.143.22","443","INFO","NOT a server cipher order configured","",""
"FS","sve.education.gouv.fr/185.75.143.22","443","OK","offered","",""
"FS_ciphers","sve.education.gouv.fr/185.75.143.22","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","sve.education.gouv.fr/185.75.143.22","443","OK","secp384r1","",""
"DH_groups","sve.education.gouv.fr/185.75.143.22","443","OK","Unknown DH group (4096 bits)","",""
"FS_TLS12_sig_algs","sve.education.gouv.fr/185.75.143.22","443","LOW","RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","sve.education.gouv.fr/185.75.143.22","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'heartbeat/#15' 'renegotiation info/#65281'","",""
